"","wavelength","ash_mean_reflectance"
"1",1,0.72358
"2",2,0.72342
"3",3,0.72366
"4",4,0.72376
"5",5,0.72343
"6",6,0.72358
"7",7,0.72413
"8",8,0.72434
"9",9,0.72459
"10",10,0.72477
"11",11,0.72474
"12",12,0.72475
"13",13,0.72509
"14",14,0.72524
"15",15,0.72543
"16",16,0.72569
"17",17,0.72591
"18",18,0.7261
"19",19,0.72631
"20",20,0.72646
"21",21,0.72662
"22",22,0.72685
"23",23,0.72704
"24",24,0.72706
"25",25,0.72708
"26",26,0.72686
"27",27,0.7268
"28",28,0.7271
"29",29,0.72726
"30",30,0.7275
"31",31,0.72797
"32",32,0.72825
"33",33,0.72849
"34",34,0.7286
"35",35,0.72855
"36",36,0.72858
"37",37,0.72875
"38",38,0.72887
"39",39,0.72921
"40",40,0.72956
"41",41,0.72955
"42",42,0.72968
"43",43,0.72995
"44",44,0.73
"45",45,0.73019
"46",46,0.73037
"47",47,0.73053
"48",48,0.73064
"49",49,0.73086
"50",50,0.73091
"51",51,0.7311
"52",52,0.73142
"53",53,0.73151
"54",54,0.73173
"55",55,0.73204
"56",56,0.73216
"57",57,0.73234
"58",58,0.73249
"59",59,0.73246
"60",60,0.73254
"61",61,0.7326
"62",62,0.73264
"63",63,0.73275
"64",64,0.73304
"65",65,0.73327
"66",66,0.73355
"67",67,0.73377
"68",68,0.73382
"69",69,0.73386
"70",70,0.73392
"71",71,0.73402
"72",72,0.73411
"73",73,0.73418
"74",74,0.73434
"75",75,0.73456
"76",76,0.73467
"77",77,0.73471
"78",78,0.73485
"79",79,0.735
"80",80,0.73505
"81",81,0.73517
"82",82,0.73555
"83",83,0.73565
"84",84,0.73579
"85",85,0.73602
"86",86,0.73593
"87",87,0.73598
"88",88,0.73611
"89",89,0.73619
"90",90,0.73631
"91",91,0.73645
"92",92,0.7366
"93",93,0.73663
"94",94,0.7366
"95",95,0.73665
"96",96,0.73664
"97",97,0.73659
"98",98,0.73662
"99",99,0.73667
"100",100,0.73669
"101",101,0.73679
"102",102,0.73704
"103",103,0.73717
"104",104,0.73724
"105",105,0.7373
"106",106,0.7373
"107",107,0.73717
"108",108,0.73714
"109",109,0.73711
"110",110,0.7371
"111",111,0.73714
"112",112,0.73719
"113",113,0.73719
"114",114,0.73719
"115",115,0.7372
"116",116,0.73712
"117",117,0.73705
"118",118,0.73702
"119",119,0.73691
"120",120,0.73671
"121",121,0.73656
"122",122,0.73632
"123",123,0.7362
"124",124,0.73626
"125",125,0.73616
"126",126,0.73609
"127",127,0.73594
"128",128,0.73573
"129",129,0.73536
"130",130,0.73498
"131",131,0.73464
"132",132,0.73436
"133",133,0.73409
"134",134,0.73369
"135",135,0.73331
"136",136,0.73282
"137",137,0.73212
"138",138,0.73153
"139",139,0.73091
"140",140,0.73038
"141",141,0.72995
"142",142,0.72942
"143",143,0.72893
"144",144,0.72837
"145",145,0.72771
"146",146,0.72701
"147",147,0.72646
"148",148,0.72595
"149",149,0.72532
"150",150,0.7247
"151",151,0.72406
"152",152,0.72331
"153",153,0.72266
"154",154,0.7221
"155",155,0.72149
"156",156,0.7208
"157",157,0.72024
"158",158,0.71977
"159",159,0.71923
"160",160,0.71872
"161",161,0.71821
"162",162,0.71757
"163",163,0.71707
"164",164,0.71665
"165",165,0.71634
"166",166,0.71594
"167",167,0.71556
"168",168,0.71521
"169",169,0.71485
"170",170,0.71451
"171",171,0.71424
"172",172,0.71393
"173",173,0.71353
"174",174,0.71322
"175",175,0.71299
"176",176,0.7127
"177",177,0.71244
"178",178,0.71215
"179",179,0.71177
"180",180,0.71147
"181",181,0.7112
"182",182,0.71098
"183",183,0.7107
"184",184,0.71043
"185",185,0.71017
"186",186,0.70986
"187",187,0.70962
"188",188,0.70941
"189",189,0.70924
"190",190,0.70909
"191",191,0.70897
"192",192,0.70891
"193",193,0.70886
"194",194,0.70885
"195",195,0.70884
"196",196,0.70885
"197",197,0.70886
"198",198,0.70884
"199",199,0.70885
"200",200,0.70892
"201",201,0.70901
"202",202,0.70914
"203",203,0.70935
"204",204,0.70949
"205",205,0.70963
"206",206,0.70979
"207",207,0.70991
"208",208,0.71011
"209",209,0.71039
"210",210,0.71063
"211",211,0.71086
"212",212,0.71114
"213",213,0.71142
"214",214,0.7117
"215",215,0.71198
"216",216,0.71228
"217",217,0.71265
"218",218,0.71298
"219",219,0.71337
"220",220,0.71389
"221",221,0.7143
"222",222,0.71468
"223",223,0.71507
"224",224,0.71541
"225",225,0.71581
"226",226,0.71627
"227",227,0.71666
"228",228,0.71705
"229",229,0.71744
"230",230,0.71779
"231",231,0.71817
"232",232,0.71861
"233",233,0.719
"234",234,0.71934
"235",235,0.71962
"236",236,0.71987
"237",237,0.72011
"238",238,0.72039
"239",239,0.72069
"240",240,0.72097
"241",241,0.72124
"242",242,0.72151
"243",243,0.72178
"244",244,0.72204
"245",245,0.72233
"246",246,0.72258
"247",247,0.7228
"248",248,0.72303
"249",249,0.72326
"250",250,0.72347
"251",251,0.72368
"252",252,0.7239
"253",253,0.72414
"254",254,0.72436
"255",255,0.72455
"256",256,0.72472
"257",257,0.72488
"258",258,0.72501
"259",259,0.72518
"260",260,0.72539
"261",261,0.72554
"262",262,0.72568
"263",263,0.7258
"264",264,0.72588
"265",265,0.72599
"266",266,0.72609
