"","wavelength","haz_mean_reflectance"
"1",1,0.451715
"2",2,0.451495
"3",3,0.4513
"4",4,0.45137
"5",5,0.45161
"6",6,0.451675
"7",7,0.451785
"8",8,0.45187
"9",9,0.45187
"10",10,0.451765
"11",11,0.451925
"12",12,0.451985
"13",13,0.451775
"14",14,0.451705
"15",15,0.451695
"16",16,0.45159
"17",17,0.45165
"18",18,0.451935
"19",19,0.45209
"20",20,0.452265
"21",21,0.452395
"22",22,0.45254
"23",23,0.452565
"24",24,0.452555
"25",25,0.45259
"26",26,0.452755
"27",27,0.45293
"28",28,0.45293
"29",29,0.45292
"30",30,0.45289
"31",31,0.45264
"32",32,0.452595
"33",33,0.45272
"34",34,0.45273
"35",35,0.4527
"36",36,0.45272
"37",37,0.4528
"38",38,0.452805
"39",39,0.452815
"40",40,0.452935
"41",41,0.45286
"42",42,0.45281
"43",43,0.45286
"44",44,0.452845
"45",45,0.452955
"46",46,0.453015
"47",47,0.453025
"48",48,0.452985
"49",49,0.45295
"50",50,0.45291
"51",51,0.453
"52",52,0.453135
"53",53,0.45321
"54",54,0.453175
"55",55,0.453105
"56",56,0.453125
"57",57,0.453245
"58",58,0.45327
"59",59,0.45322
"60",60,0.45312
"61",61,0.45303
"62",62,0.45284
"63",63,0.452805
"64",64,0.452855
"65",65,0.45295
"66",66,0.453005
"67",67,0.452905
"68",68,0.452915
"69",69,0.452905
"70",70,0.452785
"71",71,0.452815
"72",72,0.45289
"73",73,0.452865
"74",74,0.45284
"75",75,0.452765
"76",76,0.45272
"77",77,0.452605
"78",78,0.45252
"79",79,0.452435
"80",80,0.452465
"81",81,0.452515
"82",82,0.45244
"83",83,0.45237
"84",84,0.45236
"85",85,0.452305
"86",86,0.45216
"87",87,0.45217
"88",88,0.45222
"89",89,0.4522
"90",90,0.45223
"91",91,0.45219
"92",92,0.45203
"93",93,0.451945
"94",94,0.45188
"95",95,0.45176
"96",96,0.451715
"97",97,0.451685
"98",98,0.45158
"99",99,0.451515
"100",100,0.451405
"101",101,0.451285
"102",102,0.451265
"103",103,0.45123
"104",104,0.4512
"105",105,0.45124
"106",106,0.45123
"107",107,0.451205
"108",108,0.45113
"109",109,0.45103
"110",110,0.450915
"111",111,0.450735
"112",112,0.45061
"113",113,0.45044
"114",114,0.45034
"115",115,0.450305
"116",116,0.45021
"117",117,0.45014
"118",118,0.450045
"119",119,0.449945
"120",120,0.449795
"121",121,0.449675
"122",122,0.44961
"123",123,0.44947
"124",124,0.44927
"125",125,0.44912
"126",126,0.448975
"127",127,0.448805
"128",128,0.4487
"129",129,0.448515
"130",130,0.44818
"131",131,0.447885
"132",132,0.447565
"133",133,0.447185
"134",134,0.44685
"135",135,0.446565
"136",136,0.44618
"137",137,0.445745
"138",138,0.44532
"139",139,0.444855
"140",140,0.444395
"141",141,0.44392
"142",142,0.44345
"143",143,0.44301
"144",144,0.442495
"145",145,0.441945
"146",146,0.441415
"147",147,0.44086
"148",148,0.440315
"149",149,0.439835
"150",150,0.43942
"151",151,0.438985
"152",152,0.43858
"153",153,0.438155
"154",154,0.437695
"155",155,0.43733
"156",156,0.436985
"157",157,0.436695
"158",158,0.43651
"159",159,0.43628
"160",160,0.436045
"161",161,0.435825
"162",162,0.43558
"163",163,0.43538
"164",164,0.43522
"165",165,0.43509
"166",166,0.43496
"167",167,0.434845
"168",168,0.43474
"169",169,0.434625
"170",170,0.434545
"171",171,0.43452
"172",172,0.434435
"173",173,0.43433
"174",174,0.434245
"175",175,0.43412
"176",176,0.43405
"177",177,0.43407
"178",178,0.43402
"179",179,0.43395
"180",180,0.43387
"181",181,0.433765
"182",182,0.433615
"183",183,0.4335
"184",184,0.43338
"185",185,0.433315
"186",186,0.433285
"187",187,0.43322
"188",188,0.433195
"189",189,0.433145
"190",190,0.433065
"191",191,0.43302
"192",192,0.433015
"193",193,0.43298
"194",194,0.43293
"195",195,0.432895
"196",196,0.432835
"197",197,0.43281
"198",198,0.432805
"199",199,0.432815
"200",200,0.432815
"201",201,0.43283
"202",202,0.43284
"203",203,0.43284
"204",204,0.432875
"205",205,0.432935
"206",206,0.432975
"207",207,0.433035
"208",208,0.433075
"209",209,0.4331
"210",210,0.433145
"211",211,0.43317
"212",212,0.433225
"213",213,0.433305
"214",214,0.433385
"215",215,0.43348
"216",216,0.43357
"217",217,0.43366
"218",218,0.433735
"219",219,0.433815
"220",220,0.433885
"221",221,0.43397
"222",222,0.43406
"223",223,0.43415
"224",224,0.43424
"225",225,0.434325
