"","wavelength","hc_mean_reflectance"
"1",1,0.43959
"2",2,0.4394
"3",3,0.43951
"4",4,0.43949
"5",5,0.43951
"6",6,0.43954
"7",7,0.43939
"8",8,0.43937
"9",9,0.4394
"10",10,0.43968
"11",11,0.43973
"12",12,0.43973
"13",13,0.43998
"14",14,0.44016
"15",15,0.44027
"16",16,0.44041
"17",17,0.44045
"18",18,0.44032
"19",19,0.44029
"20",20,0.44028
"21",21,0.44029
"22",22,0.44033
"23",23,0.44033
"24",24,0.44033
"25",25,0.44048
"26",26,0.44055
"27",27,0.44046
"28",28,0.4405
"29",29,0.44041
"30",30,0.44041
"31",31,0.44058
"32",32,0.44061
"33",33,0.44055
"34",34,0.44054
"35",35,0.4405
"36",36,0.44034
"37",37,0.44043
"38",38,0.44044
"39",39,0.44031
"40",40,0.44041
"41",41,0.4404
"42",42,0.44045
"43",43,0.44059
"44",44,0.44053
"45",45,0.44042
"46",46,0.44044
"47",47,0.44046
"48",48,0.44055
"49",49,0.44063
"50",50,0.44067
"51",51,0.44067
"52",52,0.44068
"53",53,0.4406
"54",54,0.44059
"55",55,0.44059
"56",56,0.44048
"57",57,0.44068
"58",58,0.44082
"59",59,0.44065
"60",60,0.44064
"61",61,0.44055
"62",62,0.44029
"63",63,0.44
"64",64,0.44009
"65",65,0.44008
"66",66,0.44007
"67",67,0.44029
"68",68,0.44031
"69",69,0.4402
"70",70,0.44015
"71",71,0.44013
"72",72,0.44014
"73",73,0.4401
"74",74,0.44006
"75",75,0.43992
"76",76,0.43983
"77",77,0.43972
"78",78,0.43972
"79",79,0.4398
"80",80,0.43977
"81",81,0.43983
"82",82,0.43974
"83",83,0.43962
"84",84,0.43972
"85",85,0.43969
"86",86,0.43963
"87",87,0.43949
"88",88,0.43921
"89",89,0.43909
"90",90,0.43904
"91",91,0.43901
"92",92,0.43912
"93",93,0.43911
"94",94,0.43904
"95",95,0.43896
"96",96,0.43886
"97",97,0.43884
"98",98,0.43881
"99",99,0.43873
"100",100,0.43863
"101",101,0.43855
"102",102,0.4385
"103",103,0.4384
"104",104,0.43831
"105",105,0.43819
"106",106,0.43809
"107",107,0.43797
"108",108,0.4379
"109",109,0.43793
"110",110,0.43789
"111",111,0.43783
"112",112,0.43778
"113",113,0.43767
"114",114,0.43747
"115",115,0.43746
"116",116,0.43743
"117",117,0.43725
"118",118,0.43719
"119",119,0.43708
"120",120,0.43682
"121",121,0.4367
"122",122,0.43676
"123",123,0.43664
"124",124,0.43645
"125",125,0.43628
"126",126,0.43603
"127",127,0.43581
"128",128,0.4356
"129",129,0.43543
"130",130,0.43518
"131",131,0.43491
"132",132,0.43463
"133",133,0.43432
"134",134,0.43402
"135",135,0.43377
"136",136,0.43344
"137",137,0.43306
"138",138,0.4327
"139",139,0.43228
"140",140,0.4319
"141",141,0.43159
"142",142,0.43118
"143",143,0.43067
"144",144,0.43024
"145",145,0.42982
"146",146,0.42932
"147",147,0.42894
"148",148,0.42857
"149",149,0.42816
"150",150,0.4277
"151",151,0.42731
"152",152,0.42691
"153",153,0.42658
"154",154,0.42635
"155",155,0.42606
"156",156,0.42575
"157",157,0.42553
"158",158,0.4253
"159",159,0.42514
"160",160,0.42514
"161",161,0.42501
"162",162,0.42478
"163",163,0.42462
"164",164,0.42447
"165",165,0.42427
"166",166,0.42415
"167",167,0.42414
"168",168,0.42406
"169",169,0.42396
"170",170,0.4239
"171",171,0.42387
"172",172,0.4238
"173",173,0.42371
"174",174,0.42366
"175",175,0.42363
"176",176,0.42356
"177",177,0.4235
"178",178,0.42345
"179",179,0.42337
"180",180,0.42332
"181",181,0.42329
"182",182,0.42335
"183",183,0.4233
"184",184,0.42323
"185",185,0.42313
"186",186,0.42292
"187",187,0.42286
"188",188,0.42285
"189",189,0.42283
"190",190,0.42288
"191",191,0.42286
"192",192,0.42278
"193",193,0.42274
"194",194,0.42272
"195",195,0.42269
"196",196,0.42265
"197",197,0.42263
"198",198,0.42262
"199",199,0.42261
"200",200,0.42261
"201",201,0.42262
"202",202,0.4226
"203",203,0.42256
"204",204,0.42254
"205",205,0.42249
"206",206,0.42251
"207",207,0.42258
"208",208,0.42258
"209",209,0.42257
"210",210,0.42259
"211",211,0.42255
"212",212,0.42258
"213",213,0.42269
"214",214,0.42275
"215",215,0.4228
"216",216,0.42286
"217",217,0.42285
"218",218,0.42284
"219",219,0.42287
"220",220,0.42289
"221",221,0.42294
"222",222,0.42305
"223",223,0.4231
"224",224,0.42317
"225",225,0.4232
"226",226,0.4232
"227",227,0.42322
"228",228,0.42325
"229",229,0.42329
"230",230,0.42335
"231",231,0.42339
"232",232,0.4234
"233",233,0.42343
"234",234,0.42344
"235",235,0.42344
"236",236,0.42347
"237",237,0.42345
"238",238,0.42348
"239",239,0.42353
"240",240,0.42357
"241",241,0.42365
"242",242,0.42366
"243",243,0.42362
"244",244,0.42362
"245",245,0.42359
"246",246,0.4236
"247",247,0.4237
"248",248,0.42372
"249",249,0.42369
"250",250,0.42369
"251",251,0.42371
"252",252,0.42368
"253",253,0.42369
"254",254,0.42371
"255",255,0.42369
"256",256,0.42366
"257",257,0.42366
"258",258,0.42365
"259",259,0.42363
"260",260,0.42358
"261",261,0.42355
"262",262,0.42352
"263",263,0.42349
"264",264,0.42349
"265",265,0.42346
"266",266,0.42338
"267",267,0.42332
"268",268,0.42324
"269",269,0.42318
"270",270,0.42315
"271",271,0.4231
"272",272,0.42303
"273",273,0.423
"274",274,0.42294
"275",275,0.42285
"276",276,0.42282
"277",277,0.42272
"278",278,0.42259
"279",279,0.42255
"280",280,0.42248
"281",281,0.42239
"282",282,0.42231
"283",283,0.42222
"284",284,0.42212
"285",285,0.42204
"286",286,0.42193
"287",287,0.42179
"288",288,0.42166
"289",289,0.42151
"290",290,0.42137
"291",291,0.42124
"292",292,0.42111
"293",293,0.42095
"294",294,0.42079
"295",295,0.42062
