"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"1",1000,494.033148148148,597.538571428571,794.763,564.316923076923,533.788333333333,629.345833333333,690.47,723.58,459.221666666667,507.343333333333,391.713333333333,451.715,439.59,388.96,642.54,441.635
"2",2000,493.926851851852,596.881428571429,793.547,563.760769230769,533.612222222222,628.545277777778,689.987777777778,723.42,459.145,507.298333333333,391.843333333333,451.495,439.4,388.97,642.1,441.67
"3",3000,494.011388888889,597.724285714286,794.872,564.246923076923,533.757777777778,629.370833333333,690.486111111111,723.66,459.066666666667,507.449166666667,391.976666666667,451.3,439.51,389.06,642.43,441.65
"4",4000,494.103333333333,598.502857142857,796.027,564.840769230769,533.998333333333,630.222222222222,691.062222222222,723.76,459.118333333333,507.583333333333,391.903333333333,451.37,439.49,389.06,642.94,441.705
"5",5000,494.186944444444,599.212857142857,797.257,565.382307692308,534.284444444444,631.034444444444,691.781666666667,723.43,459.36,507.775833333333,391.646666666667,451.61,439.51,388.93,643.7,441.72
"6",6000,494.294259259259,600.017142857143,798.273,566.005384615385,534.575555555556,631.877222222222,692.365,723.58,459.436666666667,507.896666666667,391.55,451.675,439.54,388.96,644.22,441.79
"7",7000,494.406759259259,600.952857142857,799.118,566.782307692308,534.881666666667,632.783333333333,692.873333333333,724.13,459.485,507.884166666667,391.336666666667,451.785,439.39,389.07,644.58,442
"8",8000,494.51962962963,601.728571428571,800.125,567.477692307692,535.195555555556,633.650833333333,693.422222222222,724.34,459.518333333333,508.003333333333,391.3,451.87,439.37,389.11,645.08,442.085
"9",9000,494.657222222222,602.387142857143,801.137,568.144615384615,535.545555555556,634.496111111111,693.959444444444,724.59,459.491666666667,508.176666666667,391.496666666667,451.87,439.4,389.17,645.63,442.09
"10",10000,494.785925925926,603.225714285714,802.036,568.841538461539,535.839444444444,635.327222222222,694.453333333333,724.77,459.358333333333,508.373333333333,391.556666666667,451.765,439.68,389.38,646.07,442.12
