"","wavelength","pasture_mean_reflectance"
"1",1,0.794763
"2",2,0.793547
"3",3,0.794872
"4",4,0.796027
"5",5,0.797257
"6",6,0.798273
"7",7,0.799118
"8",8,0.800125
"9",9,0.801137
"10",10,0.802036
"11",11,0.803111
"12",12,0.804122
"13",13,0.805083
"14",14,0.806093
"15",15,0.807196
"16",16,0.808455
"17",17,0.809604
"18",18,0.81075
"19",19,0.811877
"20",20,0.812949
"21",21,0.814017
"22",22,0.815052
"23",23,0.816231
"24",24,0.817288
"25",25,0.818246
"26",26,0.819245
"27",27,0.820169
"28",28,0.821215
"29",29,0.82239
"30",30,0.823514
"31",31,0.824762
"32",32,0.825792
"33",33,0.826672
"34",34,0.827618
"35",35,0.828464
"36",36,0.829431
"37",37,0.830442
"38",38,0.831252
"39",39,0.832116
"40",40,0.832916
"41",41,0.833602
"42",42,0.834608
"43",43,0.835481
"44",44,0.836048
"45",45,0.836636
"46",46,0.837174
"47",47,0.837773
"48",48,0.838309
"49",49,0.839084
"50",50,0.840017
"51",51,0.840654
"52",52,0.841207
"53",53,0.841874
"54",54,0.842371
"55",55,0.842915
"56",56,0.843389
"57",57,0.843735
"58",58,0.844171
"59",59,0.844561
"60",60,0.845058
"61",61,0.845467
"62",62,0.845887
"63",63,0.84608
"64",64,0.846321
"65",65,0.846599
"66",66,0.846886
"67",67,0.847172
"68",68,0.847415
"69",69,0.847563
"70",70,0.847567
"71",71,0.847693
"72",72,0.847918
"73",73,0.848042
"74",74,0.848097
"75",75,0.848135
"76",76,0.848096
"77",77,0.847814
"78",78,0.847689
"79",79,0.847644
"80",80,0.847613
"81",81,0.847413
"82",82,0.847335
"83",83,0.847249
"84",84,0.846934
"85",85,0.846632
"86",86,0.846349
"87",87,0.846033
"88",88,0.845702
"89",89,0.845318
"90",90,0.844918
"91",91,0.844528
"92",92,0.844076
"93",93,0.843612
"94",94,0.843165
"95",95,0.842751
"96",96,0.842242
"97",97,0.841706
"98",98,0.841191
"99",99,0.84064
"100",100,0.839935
"101",101,0.83924
"102",102,0.838674
"103",103,0.837989
"104",104,0.837329
"105",105,0.836751
"106",106,0.836101
"107",107,0.835353
"108",108,0.834669
"109",109,0.834037
"110",110,0.833339
"111",111,0.832647
"112",112,0.831882
"113",113,0.831073
"114",114,0.830285
"115",115,0.82941
"116",116,0.828488
"117",117,0.827609
"118",118,0.826611
"119",119,0.825466
"120",120,0.824261
"121",121,0.82291
"122",122,0.821453
"123",123,0.819796
"124",124,0.818033
"125",125,0.816111
"126",126,0.814058
"127",127,0.811741
"128",128,0.809259
"129",129,0.806623
"130",130,0.803677
"131",131,0.800563
"132",132,0.797203
"133",133,0.793525
"134",134,0.789618
"135",135,0.785419
"136",136,0.78103
"137",137,0.776367
"138",138,0.77163
"139",139,0.766589
"140",140,0.761651
"141",141,0.756645
"142",142,0.751658
"143",143,0.746591
"144",144,0.741656
"145",145,0.736678
"146",146,0.731862
"147",147,0.727306
"148",148,0.722969
"149",149,0.718839
"150",150,0.714886
"151",151,0.711281
"152",152,0.707855
"153",153,0.704794
"154",154,0.702156
"155",155,0.699599
"156",156,0.697199
"157",157,0.695119
"158",158,0.693273
"159",159,0.691635
"160",160,0.690364
"161",161,0.689137
"162",162,0.688025
"163",163,0.687069
"164",164,0.686254
"165",165,0.685586
"166",166,0.684971
"167",167,0.684496
"168",168,0.684047
"169",169,0.683659
"170",170,0.683321
"171",171,0.68312
"172",172,0.682812
"173",173,0.682479
"174",174,0.682184
"175",175,0.681869
"176",176,0.681574
"177",177,0.68136
"178",178,0.681089
"179",179,0.680751
"180",180,0.680469
"181",181,0.680198
"182",182,0.679944
"183",183,0.679665
"184",184,0.679406
"185",185,0.679127
"186",186,0.678779
"187",187,0.678523
"188",188,0.678314
"189",189,0.6781
"190",190,0.677891
"191",191,0.677742
"192",192,0.677613
"193",193,0.677523
"194",194,0.677477
"195",195,0.677475
"196",196,0.677495
"197",197,0.677551
"198",198,0.677641
"199",199,0.677763
"200",200,0.677933
"201",201,0.67813
"202",202,0.678359
"203",203,0.678651
"204",204,0.678921
"205",205,0.679161
"206",206,0.679489
