"","wavelength","rowan_mean_reflectance"
"1",1,0.64254
"2",2,0.6421
"3",3,0.64243
"4",4,0.64294
"5",5,0.6437
"6",6,0.64422
"7",7,0.64458
"8",8,0.64508
"9",9,0.64563
"10",10,0.64607
"11",11,0.64659
"12",12,0.64717
"13",13,0.64747
"14",14,0.6478
"15",15,0.64825
"16",16,0.64883
"17",17,0.64923
"18",18,0.64956
"19",19,0.65002
"20",20,0.65042
"21",21,0.65089
"22",22,0.65151
"23",23,0.65217
"24",24,0.65275
"25",25,0.65314
"26",26,0.6536
"27",27,0.65422
"28",28,0.65446
"29",29,0.65482
"30",30,0.65532
"31",31,0.65582
"32",32,0.65631
"33",33,0.65711
"34",34,0.65757
"35",35,0.65777
"36",36,0.65814
"37",37,0.65853
"38",38,0.65896
"39",39,0.6596
"40",40,0.66008
"41",41,0.66035
"42",42,0.66087
"43",43,0.66129
"44",44,0.66159
"45",45,0.66213
"46",46,0.66248
"47",47,0.66284
"48",48,0.66319
"49",49,0.66355
"50",50,0.66374
"51",51,0.6642
"52",52,0.66475
"53",53,0.66523
"54",54,0.66575
"55",55,0.66613
"56",56,0.66634
"57",57,0.66671
"58",58,0.66717
"59",59,0.66762
"60",60,0.66812
"61",61,0.66852
"62",62,0.66884
"63",63,0.66924
"64",64,0.66962
"65",65,0.66987
"66",66,0.67023
"67",67,0.6706
"68",68,0.67097
"69",69,0.67147
"70",70,0.67202
"71",71,0.67237
"72",72,0.67251
"73",73,0.67281
"74",74,0.67316
"75",75,0.67355
"76",76,0.67394
"77",77,0.67442
"78",78,0.67481
"79",79,0.67513
"80",80,0.67547
"81",81,0.67579
"82",82,0.67616
"83",83,0.67642
"84",84,0.67671
"85",85,0.67703
"86",86,0.67728
"87",87,0.67767
"88",88,0.67805
"89",89,0.67842
"90",90,0.67888
"91",91,0.6792
"92",92,0.67939
"93",93,0.67964
"94",94,0.67978
"95",95,0.68012
"96",96,0.68054
"97",97,0.68089
"98",98,0.68126
"99",99,0.68146
"100",100,0.68167
"101",101,0.68193
"102",102,0.68219
"103",103,0.6825
"104",104,0.68281
"105",105,0.68308
"106",106,0.68342
"107",107,0.6839
"108",108,0.68419
"109",109,0.68436
"110",110,0.6846
"111",111,0.6848
"112",112,0.68504
"113",113,0.68522
"114",114,0.6855
"115",115,0.6858
"116",116,0.68596
"117",117,0.68611
"118",118,0.68636
"119",119,0.68657
"120",120,0.6867
"121",121,0.68684
"122",122,0.68704
"123",123,0.68715
"124",124,0.68711
"125",125,0.6872
"126",126,0.68744
"127",127,0.6875
"128",128,0.68748
"129",129,0.68746
"130",130,0.68742
"131",131,0.68727
"132",132,0.68724
"133",133,0.68718
"134",134,0.68708
"135",135,0.6869
"136",136,0.68678
"137",137,0.68671
"138",138,0.68655
"139",139,0.68637
"140",140,0.68614
"141",141,0.6858
"142",142,0.68551
"143",143,0.68525
"144",144,0.68494
"145",145,0.68455
"146",146,0.68426
"147",147,0.68402
"148",148,0.68372
"149",149,0.6834
"150",150,0.68313
"151",151,0.6828
"152",152,0.68237
"153",153,0.68201
"154",154,0.68169
"155",155,0.68138
"156",156,0.68105
"157",157,0.68079
"158",158,0.68059
"159",159,0.68037
"160",160,0.68017
"161",161,0.67997
"162",162,0.67979
"163",163,0.67954
"164",164,0.67927
"165",165,0.67893
"166",166,0.67875
"167",167,0.67854
"168",168,0.67844
"169",169,0.67854
"170",170,0.6785
"171",171,0.67844
"172",172,0.67839
"173",173,0.67835
"174",174,0.67827
"175",175,0.67821
"176",176,0.67811
"177",177,0.67795
"178",178,0.67785
"179",179,0.6778
"180",180,0.67771
"181",181,0.67762
"182",182,0.67753
"183",183,0.67748
"184",184,0.67743
"185",185,0.67739
"186",186,0.67738
"187",187,0.67739
"188",188,0.67738
"189",189,0.67743
"190",190,0.67756
"191",191,0.67766
"192",192,0.67776
"193",193,0.6779
"194",194,0.67808
"195",195,0.67823
"196",196,0.6784
"197",197,0.67858
"198",198,0.67872
"199",199,0.67891
"200",200,0.67916
"201",201,0.67947
"202",202,0.67975
"203",203,0.68007
"204",204,0.68039
"205",205,0.6807
"206",206,0.68101
"207",207,0.68127
"208",208,0.68165
"209",209,0.68208
"210",210,0.68248
"211",211,0.68291
"212",212,0.68338
"213",213,0.6838
"214",214,0.68427
"215",215,0.68482
"216",216,0.6854
"217",217,0.68596
"218",218,0.68654
"219",219,0.68711
"220",220,0.68766
"221",221,0.68825
"222",222,0.68886
"223",223,0.6894
"224",224,0.68992
"225",225,0.69047
"226",226,0.69099
"227",227,0.69153
"228",228,0.69213
"229",229,0.69269
"230",230,0.69321
"231",231,0.69376
"232",232,0.69434
"233",233,0.6949
"234",234,0.69543
"235",235,0.6959
"236",236,0.69635
"237",237,0.69684
"238",238,0.69732
"239",239,0.69782
"240",240,0.69828
"241",241,0.69872
"242",242,0.69913
"243",243,0.6995
"244",244,0.6999
"245",245,0.70033
"246",246,0.7007
"247",247,0.70107
"248",248,0.70142
"249",249,0.70168
"250",250,0.70202
"251",251,0.70242
"252",252,0.70281
"253",253,0.70317
"254",254,0.70353
"255",255,0.70382
"256",256,0.70415
"257",257,0.70452
"258",258,0.70487
"259",259,0.7052
"260",260,0.70552
"261",261,0.70582
"262",262,0.70608
"263",263,0.70637
"264",264,0.70666
"265",265,0.70694
"266",266,0.70723
"267",267,0.70748
"268",268,0.70767
"269",269,0.7079
"270",270,0.70814
"271",271,0.70837
"272",272,0.70862
"273",273,0.70891
"274",274,0.70915
"275",275,0.70937
"276",276,0.70961
