wavelength,mean_deciduous_reflectance,sitka_mean_reflectance,pasture_mean_reflectance,moss_mean_reflectance,rho_mean_reflectance,grass_mean_reflectance,br_mean_reflectance,ash_mean_reflectance,alder_mean_reflectance,birch_mean_reflectance,beech_mean_reflectance,haz_mean_reflectance,hc_mean_reflectance,lime_mean_reflectance,rowan_mean_reflectance,syc_mean_reflectance
350,0.494033148,0.597538571,0.794763,0.564316923,0.533788333,0.629345833,0.69047,0.72358,0.459221667,0.507343333,0.391713333,0.451715,0.43959,0.38896,0.64254,0.441635
351,0.493926852,0.596881429,0.793547,0.563760769,0.533612222,0.628545278,0.689987778,0.72342,0.459145,0.507298333,0.391843333,0.451495,0.4394,0.38897,0.6421,0.44167
352,0.494011389,0.597724286,0.794872,0.564246923,0.533757778,0.629370833,0.690486111,0.72366,0.459066667,0.507449167,0.391976667,0.4513,0.43951,0.38906,0.64243,0.44165
353,0.494103333,0.598502857,0.796027,0.564840769,0.533998333,0.630222222,0.691062222,0.72376,0.459118333,0.507583333,0.391903333,0.45137,0.43949,0.38906,0.64294,0.441705
354,0.494186944,0.599212857,0.797257,0.565382308,0.534284444,0.631034444,0.691781667,0.72343,0.45936,0.507775833,0.391646667,0.45161,0.43951,0.38893,0.6437,0.44172
355,0.494294259,0.600017143,0.798273,0.566005385,0.534575556,0.631877222,0.692365,0.72358,0.459436667,0.507896667,0.39155,0.451675,0.43954,0.38896,0.64422,0.44179
356,0.494406759,0.600952857,0.799118,0.566782308,0.534881667,0.632783333,0.692873333,0.72413,0.459485,0.507884167,0.391336667,0.451785,0.43939,0.38907,0.64458,0.442
357,0.49451963,0.601728571,0.800125,0.567477692,0.535195556,0.633650833,0.693422222,0.72434,0.459518333,0.508003333,0.3913,0.45187,0.43937,0.38911,0.64508,0.442085
358,0.494657222,0.602387143,0.801137,0.568144615,0.535545556,0.634496111,0.693959444,0.72459,0.459491667,0.508176667,0.391496667,0.45187,0.4394,0.38917,0.64563,0.44209
359,0.494785926,0.603225714,0.802036,0.568841538,0.535839444,0.635327222,0.694453333,0.72477,0.459358333,0.508373333,0.391556667,0.451765,0.43968,0.38938,0.64607,0.44212
360,0.494894907,0.60401,0.803111,0.569534615,0.536185,0.636115833,0.69499,0.72474,0.459375,0.5085825,0.391516667,0.451925,0.43973,0.38941,0.64659,0.442185
361,0.495036389,0.604742857,0.804122,0.570093846,0.536489444,0.636943889,0.695613889,0.72475,0.459471667,0.508759167,0.391726667,0.451985,0.43973,0.38937,0.64717,0.442365
362,0.495148796,0.605667143,0.805083,0.570694615,0.536726667,0.637904444,0.696127222,0.72509,0.459503333,0.508905833,0.39179,0.451775,0.43998,0.38932,0.64747,0.442505
363,0.495199259,0.606605714,0.806093,0.571363846,0.537001667,0.638825556,0.696634444,0.72524,0.459595,0.508996667,0.391696667,0.451705,0.44016,0.38915,0.6478,0.44245
364,0.495289444,0.607411429,0.807196,0.572018462,0.537302778,0.639709167,0.697196667,0.72543,0.459648333,0.509113333,0.391683333,0.451695,0.44027,0.3891,0.64825,0.442415
365,0.49537,0.608075714,0.808455,0.572706154,0.537601667,0.640648333,0.697809444,0.72569,0.459668333,0.509211667,0.39167,0.45159,0.44041,0.38907,0.64883,0.44219
366,0.495468241,0.60888,0.809604,0.573353846,0.537930556,0.641561111,0.698342778,0.72591,0.459725,0.509359167,0.39167,0.45165,0.44045,0.38905,0.64923,0.44217
367,0.49558463,0.609674286,0.81075,0.574015385,0.538351667,0.642389722,0.698855556,0.7261,0.459786667,0.509561667,0.391663333,0.451935,0.44032,0.38907,0.64956,0.442265
368,0.49570537,0.610482857,0.811877,0.574626154,0.538647222,0.643236389,0.699408333,0.72631,0.459848333,0.509708333,0.391666667,0.45209,0.44029,0.38908,0.65002,0.442335
369,0.495826389,0.6114,0.812949,0.575163846,0.538819444,0.644084167,0.699937778,0.72646,0.459965,0.5098675,0.39171,0.452265,0.44028,0.389,0.65042,0.44247
370,0.495950926,0.612271429,0.814017,0.575753846,0.539117778,0.644955278,0.700483333,0.72662,0.460021667,0.510005,0.391686667,0.452395,0.44029,0.38907,0.65089,0.44258
371,0.496100926,0.61316,0.815052,0.576339231,0.539463333,0.645791111,0.701058333,0.72685,0.460071667,0.510136667,0.39158,0.45254,0.44033,0.3892,0.65151,0.44269
372,0.496243148,0.613882857,0.816231,0.576928462,0.539736667,0.646691667,0.701686111,0.72704,0.460076667,0.510153333,0.391633333,0.452565,0.44033,0.38947,0.65217,0.44275
373,0.496346759,0.614707143,0.817288,0.577617692,0.540011111,0.647626389,0.702207778,0.72706,0.460011667,0.5102775,0.391656667,0.452555,0.44033,0.38967,0.65275,0.44281
374,0.496406204,0.615464286,0.818246,0.578246154,0.540273333,0.648536389,0.702671667,0.72708,0.459881667,0.510449167,0.39159,0.45259,0.44048,0.38972,0.65314,0.442725
375,0.496421667,0.616115714,0.819245,0.578841538,0.540408333,0.649373611,0.703193333,0.72686,0.45978,0.510576667,0.391543333,0.452755,0.44055,0.38961,0.6536,0.44252
376,0.496466852,0.616888571,0.820169,0.579502308,0.540581111,0.650191944,0.703612222,0.7268,0.45989,0.510736667,0.39149,0.45293,0.44046,0.38937,0.65422,0.442305
377,0.496516852,0.617622857,0.821215,0.580155385,0.540854444,0.651029167,0.704049444,0.7271,0.459981667,0.51082,0.39143,0.45293,0.4405,0.38914,0.65446,0.44229
378,0.496603519,0.61835,0.82239,0.580798462,0.541170556,0.651918056,0.704550556,0.72726,0.460073333,0.510901667,0.391476667,0.45292,0.44041,0.38907,0.65482,0.4425
379,0.496723981,0.619088571,0.823514,0.581390769,0.541487222,0.652749444,0.705031111,0.7275,0.460205,0.511030833,0.39149,0.45289,0.44041,0.38908,0.65532,0.44259
380,0.4969075,0.619868571,0.824762,0.581975385,0.541864444,0.653585,0.705512778,0.72797,0.460408333,0.511204167,0.39154,0.45264,0.44058,0.38922,0.65582,0.442785
381,0.497030093,0.620548571,0.825792,0.582563846,0.542143889,0.65439,0.705992778,0.72825,0.46042,0.511325833,0.39154,0.452595,0.44061,0.38932,0.65631,0.4429
