"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"1",1,0.494033148148148,0.597538571428571,0.794763,0.564316923076923,0.533788333333333,0.629345833333333,0.69047,0.72358,0.459221666666667,0.507343333333333,0.391713333333333,0.451715,0.43959,0.38896,0.64254,0.441635
"2",2,0.493926851851852,0.596881428571429,0.793547,0.563760769230769,0.533612222222222,0.628545277777778,0.689987777777778,0.72342,0.459145,0.507298333333333,0.391843333333333,0.451495,0.4394,0.38897,0.6421,0.44167
"3",3,0.494011388888889,0.597724285714286,0.794872,0.564246923076923,0.533757777777778,0.629370833333333,0.690486111111111,0.72366,0.459066666666667,0.507449166666667,0.391976666666667,0.4513,0.43951,0.38906,0.64243,0.44165
"4",4,0.494103333333333,0.598502857142857,0.796027,0.564840769230769,0.533998333333333,0.630222222222222,0.691062222222222,0.72376,0.459118333333333,0.507583333333333,0.391903333333333,0.45137,0.43949,0.38906,0.64294,0.441705
"5",5,0.494186944444444,0.599212857142857,0.797257,0.565382307692308,0.534284444444444,0.631034444444444,0.691781666666667,0.72343,0.45936,0.507775833333333,0.391646666666667,0.45161,0.43951,0.38893,0.6437,0.44172
"6",6,0.494294259259259,0.600017142857143,0.798273,0.566005384615385,0.534575555555556,0.631877222222222,0.692365,0.72358,0.459436666666667,0.507896666666667,0.39155,0.451675,0.43954,0.38896,0.64422,0.44179
"7",7,0.494406759259259,0.600952857142857,0.799118,0.566782307692308,0.534881666666667,0.632783333333333,0.692873333333333,0.72413,0.459485,0.507884166666667,0.391336666666667,0.451785,0.43939,0.38907,0.64458,0.442
"8",8,0.49451962962963,0.601728571428571,0.800125,0.567477692307692,0.535195555555556,0.633650833333333,0.693422222222222,0.72434,0.459518333333333,0.508003333333333,0.3913,0.45187,0.43937,0.38911,0.64508,0.442085
"9",9,0.494657222222222,0.602387142857143,0.801137,0.568144615384615,0.535545555555555,0.634496111111111,0.693959444444444,0.72459,0.459491666666667,0.508176666666667,0.391496666666667,0.45187,0.4394,0.38917,0.64563,0.44209
"10",10,0.494785925925926,0.603225714285714,0.802036,0.568841538461539,0.535839444444444,0.635327222222222,0.694453333333333,0.72477,0.459358333333333,0.508373333333333,0.391556666666667,0.451765,0.43968,0.38938,0.64607,0.44212
