"","wavelength","syc_mean_reflectance"
"1",1,0.441635
"2",2,0.44167
"3",3,0.44165
"4",4,0.441705
"5",5,0.44172
"6",6,0.44179
"7",7,0.442
"8",8,0.442085
"9",9,0.44209
"10",10,0.44212
"11",11,0.442185
"12",12,0.442365
"13",13,0.442505
"14",14,0.44245
"15",15,0.442415
"16",16,0.44219
"17",17,0.44217
"18",18,0.442265
"19",19,0.442335
"20",20,0.44247
"21",21,0.44258
"22",22,0.44269
"23",23,0.44275
"24",24,0.44281
"25",25,0.442725
"26",26,0.44252
"27",27,0.442305
"28",28,0.44229
"29",29,0.4425
"30",30,0.44259
"31",31,0.442785
"32",32,0.4429
"33",33,0.442945
"34",34,0.44293
"35",35,0.442865
"36",36,0.442875
"37",37,0.44275
"38",38,0.442685
"39",39,0.442785
"40",40,0.4428
"41",41,0.442795
"42",42,0.442865
"43",43,0.442835
"44",44,0.442835
"45",45,0.442935
"46",46,0.442995
"47",47,0.443035
"48",48,0.44304
"49",49,0.44308
"50",50,0.443085
"51",51,0.44312
"52",52,0.4432
"53",53,0.44329
"54",54,0.443395
"55",55,0.44329
"56",56,0.4432
"57",57,0.44323
"58",58,0.443175
"59",59,0.44314
"60",60,0.443095
"61",61,0.44305
"62",62,0.442875
"63",63,0.44286
"64",64,0.44294
"65",65,0.442935
"66",66,0.442975
"67",67,0.44296
"68",68,0.442885
"69",69,0.44288
"70",70,0.44278
"71",71,0.442715
"72",72,0.44276
"73",73,0.44269
"74",74,0.442615
"75",75,0.4426
"76",76,0.442605
"77",77,0.44263
"78",78,0.442635
"79",79,0.442705
"80",80,0.44262
"81",81,0.44253
"82",82,0.44238
"83",83,0.44229
"84",84,0.442285
"85",85,0.442205
"86",86,0.442125
"87",87,0.442055
"88",88,0.442045
"89",89,0.44207
"90",90,0.44219
"91",91,0.442165
"92",92,0.442105
"93",93,0.442055
"94",94,0.441935
"95",95,0.4418
"96",96,0.4418
"97",97,0.441705
"98",98,0.441565
"99",99,0.441555
"100",100,0.441475
"101",101,0.44143
"102",102,0.441455
"103",103,0.441345
"104",104,0.44126
"105",105,0.441155
"106",106,0.44108
"107",107,0.440995
"108",108,0.44091
"109",109,0.440825
"110",110,0.440775
"111",111,0.440755
"112",112,0.44072
"113",113,0.440685
"114",114,0.440685
"115",115,0.44061
"116",116,0.44042
"117",117,0.440275
"118",118,0.44016
"119",119,0.44003
"120",120,0.439895
"121",121,0.43978
"122",122,0.43969
"123",123,0.439565
"124",124,0.439435
"125",125,0.43929
"126",126,0.43915
"127",127,0.438975
"128",128,0.438775
"129",129,0.43858
"130",130,0.43835
"131",131,0.438045
"132",132,0.437725
"133",133,0.43741
"134",134,0.437095
"135",135,0.436785
"136",136,0.436445
"137",137,0.43611
"138",138,0.43573
"139",139,0.43532
"140",140,0.43488
"141",141,0.434365
"142",142,0.43391
"143",143,0.433465
"144",144,0.433
"145",145,0.432545
"146",146,0.43211
"147",147,0.431735
"148",148,0.43131
"149",149,0.430895
"150",150,0.430545
"151",151,0.430105
"152",152,0.429525
"153",153,0.429145
"154",154,0.428825
"155",155,0.428525
"156",156,0.428365
"157",157,0.42812
"158",158,0.42784
"159",159,0.4276
"160",160,0.427355
"161",161,0.42715
"162",162,0.426975
"163",163,0.42683
"164",164,0.426715
"165",165,0.426635
"166",166,0.42655
"167",167,0.4265
"168",168,0.42643
"169",169,0.426365
"170",170,0.426295
"171",171,0.426205
"172",172,0.426165
"173",173,0.426185
"174",174,0.42614
"175",175,0.42608
"176",176,0.426035
"177",177,0.42597
"178",178,0.425895
"179",179,0.42584
"180",180,0.42578
"181",181,0.425715
"182",182,0.42561
"183",183,0.425545
"184",184,0.42549
"185",185,0.425435
"186",186,0.425365
"187",187,0.425335
"188",188,0.425355
"189",189,0.425325
"190",190,0.42529
"191",191,0.425245
"192",192,0.425145
"193",193,0.425105
"194",194,0.42512
"195",195,0.42509
"196",196,0.425045
"197",197,0.425025
"198",198,0.424975
"199",199,0.424935
"200",200,0.424935
"201",201,0.424975
"202",202,0.42501
"203",203,0.425055
"204",204,0.42508
"205",205,0.425105
"206",206,0.425125
"207",207,0.425135
"208",208,0.425155
"209",209,0.42519
"210",210,0.425225
"211",211,0.425275
"212",212,0.425325
"213",213,0.42539
"214",214,0.425445
"215",215,0.42551
"216",216,0.425545
"217",217,0.425595
"218",218,0.425675
"219",219,0.425735
"220",220,0.42578
"221",221,0.42585
"222",222,0.425905
"223",223,0.42599
"224",224,0.426125
"225",225,0.426215
"226",226,0.42629
"227",227,0.426365
"228",228,0.426415
"229",229,0.42648
"230",230,0.426565
"231",231,0.42664
"232",232,0.42671
"233",233,0.42677
"234",234,0.426795
"235",235,0.42684
"236",236,0.426895
"237",237,0.426935
"238",238,0.42699
"239",239,0.427085
"240",240,0.427125
"241",241,0.42713
"242",242,0.427185
"243",243,0.427245
"244",244,0.427285
"245",245,0.42736
"246",246,0.427395
"247",247,0.42739
"248",248,0.42741
"249",249,0.42743
"250",250,0.42746
"251",251,0.427535
"252",252,0.427555
"253",253,0.427575
"254",254,0.427635
"255",255,0.427615
"256",256,0.42761
"257",257,0.427645
"258",258,0.42765
"259",259,0.42766
"260",260,0.427685
"261",261,0.4277
"262",262,0.427705
"263",263,0.42769
"264",264,0.42768
"265",265,0.427675
"266",266,0.42766
"267",267,0.42763
"268",268,0.427605
"269",269,0.427575
"270",270,0.427515
"271",271,0.42747
"272",272,0.42744
"273",273,0.427415
"274",274,0.427375
"275",275,0.427325
"276",276,0.427275
"277",277,0.42723
"278",278,0.42719
"279",279,0.42712
"280",280,0.42706
"281",281,0.426995
"282",282,0.426925
"283",283,0.426855
"284",284,0.426775
"285",285,0.42668
"286",286,0.426585
"287",287,0.4265
"288",288,0.4264
"289",289,0.426305
"290",290,0.426185
"291",291,0.426055
"292",292,0.425885
"293",293,0.425735
"294",294,0.42559
"295",295,0.425435
"296",296,0.425295
"297",297,0.42512
"298",298,0.42493
"299",299,0.42474
"300",300,0.424555
"301",301,0.424355
"302",302,0.424165
"303",303,0.42395
"304",304,0.42373
"305",305,0.42349
"306",306,0.423215
"307",307,0.422965
"308",308,0.422715
"309",309,0.422435
"310",310,0.422155
"311",311,0.421865
"312",312,0.42155
"313",313,0.421205
"314",314,0.42086
"315",315,0.42052
"316",316,0.42016
"317",317,0.419795
"318",318,0.419425
"319",319,0.41901
"320",320,0.418595
"321",321,0.418185
"322",322,0.41775
"323",323,0.417325
"324",324,0.41688
"325",325,0.41641
"326",326,0.41594
"327",327,0.41549
"328",328,0.415
"329",329,0.41449
"330",330,0.413975
"331",331,0.413415
"332",332,0.412885
"333",333,0.412375
"334",334,0.41184
"335",335,0.411295
"336",336,0.41074
"337",337,0.410185
"338",338,0.409625
"339",339,0.40907
"340",340,0.408535
"341",341,0.407995
