Wavelength [nm],Sitka,Broadleaf,Grass
350,239.3636,201.4936,302.852
351,241.5,196.8944,287.232
352,232.1536,198.304,233.892
353,221.69,182.9592,198.188
354,228.1552,199.8816,265.956
355,236.7988,205.2424,323.828
356,236.6952,179.7224,301.532
357,233.1364,187.4032,231.476
358,231.532,196.6424,193.18
359,233.9092,194.1248,210.292
360,239.7388,186.2512,242.94
361,232.3104,176.7864,228.748
362,220.3404,172.9528,197.736
363,227.206,183.3744,234.652
364,232.092,176.2208,270.572
365,231.6832,165.0368,277.512
366,227.1444,170.9128,245.936
367,215.9724,178.556,237.724
368,206.9508,175.1712,233.256
369,207.3652,160.6904,215.916
370,220.3936,173.568,205.4
371,224.0476,177.4768,202.232
372,215.7428,164.6968,207.672
373,220.6876,166.8128,229.876
374,220.2368,168.2112,220.024
375,215.6812,169.372,203.44
376,218.218,177.8776,245.74
377,218.0248,175.0696,252.12
378,215.2668,167.3336,241.292
379,213.1024,165.4344,252.46
380,217.9408,161.852,269.284
381,222.7036,163.116,265.296
382,221.7012,170.8576,238.988
383,214.1748,170.2248,260.476
384,211.8788,168.456,280.576
385,216.4008,167.7248,278.568
386,216.566,163.9752,262.868
387,216.72,161.6608,255.248
388,215.782,162.1752,258.364
389,211.0752,165.5504,264.524
390,212.422,166.0928,268.98
391,216.5072,163.9696,256.96
392,217.9604,161.2488,224.868
393,217.4676,162.82,241.16
394,215.0288,161.068,268.228
395,211.8564,153.4616,275.084
396,212.2596,150.5928,261.592
397,213.8864,154.9064,260.412
398,214.6816,162.4304,269.852
399,212.5396,161.4864,247.372
400,210.3248,158.2704,250.564
401,209.2944,156.7808,270.084
402,210.1428,160.1448,270.856
403,213.3208,159.444,283.096
404,214.6452,155.916,296.68
405,211.3048,152.8968,296.256
406,210.5152,152.7624,272.476
407,210.7588,155.3328,259.692
408,210.9604,158.4168,271.176
409,212.6404,154.8608,273.192
410,212.4556,154.5848,272.72
411,211.7136,158.4528,272.46
412,216.4932,159.5128,271.884
413,216.748,160.2704,282.056
414,214.8636,159.3904,294.932
415,217.1568,155.0912,296.116
416,218.2824,156.5384,288.676
417,217.9408,158.6456,284.604
418,217.0308,156.684,291.192
419,217.5544,157.2568,291.82
420,219.0132,159.0896,287.464
421,220.2508,160.1264,281.868
