"","sample","reflectance.x","wavelength.x","reflectance.y","wavelength.y","ratio","veg_index"
"1","B10_Br00000",0.70733,783,0.1363,705,5.18950843727073,4.18950843727073
"2","B10_Br00001",0.71094,783,0.13528,705,5.2553222945003,4.2553222945003
"3","B13.15_grass00000",0.62401,783,0.18242,705,3.42073237583598,2.42073237583598
"4","B13.15_grass00001",0.71021,783,0.19304,705,3.67908205553253,2.67908205553253
"5","B13.15_grass00002",0.70667,783,0.2606,705,2.71170376055257,1.71170376055257
"6","B13.15_grass00003",0.57128,783,0.25511,705,2.23934773235075,1.23934773235075
"7","B13.15_grass00004",0.72754,783,0.27441,705,2.65128821835939,1.65128821835939
"8","B13.15_grass00005",0.50861,783,0.1904,705,2.67127100840336,1.67127100840336
"9","B13.15_grass00006",0.72215,783,0.23492,705,3.07402520006811,2.07402520006811
"10","B13.15_grass00007",0.71041,783,0.25365,705,2.80074906367041,1.80074906367041
"11","B18.20_grass00000",0.49278,783,0.17517,705,2.81315293714677,1.81315293714677
"12","B18.20_grass00001",0.6712,783,0.39278,705,1.70884464585773,0.708844645857732
"13","B18.20_grass00002",0.51728,783,0.26613,705,1.94371171983617,0.94371171983617
"14","B18.20_grass00003",0.53978,783,0.27268,705,1.97953645298518,0.979536452985184
"15","B18.20_grass00004",0.47124,783,0.20298,705,2.32160804020101,1.32160804020101
"16","B18.20_grass00005",0.52215,783,0.20461,705,2.55192805825717,1.55192805825717
"17","B18.20_grass00006",0.49371,783,0.23669,705,2.08589294013266,1.08589294013266
"18","B18.20_grass00007",0.5196,783,0.18406,705,2.82299250244485,1.82299250244485
"19","B25_Rho00000",0.58254,783,0.14194,705,4.10412850500211,3.10412850500211
"20","B25_Rho00001",0.55544,783,0.18129,705,3.06382039825694,2.06382039825694
"21","B25_Rho00002",0.53543,783,0.15325,705,3.49383360522023,2.49383360522023
"22","B4_Br00000",0.65935,783,0.1528,705,4.31511780104712,3.31511780104712
"23","B4_Br00001",0.66216,783,0.15254,705,4.34089419168743,3.34089419168743
"24","B6.9_Birch00000",0.52546,783,0.13249,705,3.96603517246585,2.96603517246585
"25","B6.9_Birch00001",0.48367,783,0.17583,705,2.75078200534607,1.75078200534607
"26","B6.9_Birch00002",0.46845,783,0.14274,705,3.28184110970996,2.28184110970996
"27","B6.9_Birch00003",0.49452,783,0.17727,705,2.78964291758335,1.78964291758335
"28","B6.9_Birch00004",0.53517,783,0.14511,705,3.68802977051892,2.68802977051892
"29","B6.9_Birch00005",0.48762,783,0.11142,705,4.37641357027464,3.37641357027464
"30","B7_Alder00000",0.4758,783,0.16503,705,2.8831121614252,1.8831121614252
"31","B7_Alder00001",0.46051,783,0.16975,705,2.71287187039764,1.71287187039764
"32","B7_Alder00002",0.4718,783,0.16437,705,2.87035347082801,1.87035347082801
"33","B7_Alder00003",0.46818,783,0.16184,705,2.89285714285714,1.89285714285714
"34","E094.96_pasture00000",0.80657,783,0.22268,705,3.62210346685827,2.62210346685827
"35","E094.96_pasture00001",0.82427,783,0.22985,705,3.58612138351099,2.58612138351099
"36","E094.96_pasture00002",0.81946,783,0.22883,705,3.58108639601451,2.58108639601451
"37","E094.96_pasture00003",0.80447,783,0.21986,705,3.65901027926863,2.65901027926863
"38","E094.96_pasture00004",0.84148,783,0.22449,705,3.74840750144773,2.74840750144773
"39","E094.96_pasture00005",0.82327,783,0.24113,705,3.41421639779372,2.41421639779372
"40","E094.96_pasture00006",0.82067,783,0.23495,705,3.49295594807406,2.49295594807406
"41","E094.96_pasture00007",0.78919,783,0.24532,705,3.21698190119028,2.21698190119028
"42","E094.96_pasture00008",0.78908,783,0.20417,705,3.86481853357496,2.86481853357496
"43","E094.96_pasture00009",0.79935,783,0.20851,705,3.83362908253801,2.83362908253801
"44","E1_Br00000",0.72832,783,0.17375,705,4.19176978417266,3.19176978417266
"45","E1_Br00001",0.72055,783,0.11809,705,6.10170209162503,5.10170209162503
"46","E11_grass00000",0.60883,783,0.25514,705,2.38625852473152,1.38625852473152
"47","E11_grass00001",0.64608,783,0.20393,705,3.16814593242779,2.16814593242779
"48","E11_grass00002",0.65888,783,0.22673,705,2.90601155559476,1.90601155559476
"49","E11_grass00003",0.70195,783,0.20529,705,3.41930926981343,2.41930926981343
"50","E11_grass00004",0.69304,783,0.24462,705,2.83312893467419,1.83312893467419
"51","E11_grass00005",0.67516,783,0.3086,705,2.18781594296824,1.18781594296824
"52","E11_grass00006",0.70159,783,0.24438,705,2.87089778214257,1.87089778214257
"53","E11_grass00007",0.56453,783,0.2151,705,2.62450023245002,1.62450023245002
"54","E11_grass00008",0.66482,783,0.2525,705,2.6329504950495,1.6329504950495
"55","E16_grass00000",0.27752,783,0.1816,705,1.52819383259912,0.528193832599119
"56","E16_grass00001",0.30989,783,0.22341,705,1.38709099861242,0.387090998612417
"57","E16_grass00002",0.25911,783,0.1803,705,1.43710482529118,0.437104825291182
"58","E16_grass00003",0.25566,783,0.16884,705,1.51421464108031,0.514214641080313
"59","E16_grass00004",0.3984,783,0.31382,705,1.2695175578357,0.269517557835702
"60","E16_grass00005",0.29978,783,0.20051,705,1.49508752680664,0.495087526806643
"61","E16_grass00006",0.44584,783,0.23287,705,1.91454459569717,0.91454459569717
"62","E16_grass00007",0.42256,783,0.2146,705,1.9690587138863,0.9690587138863
"63","E16_grass00008",0.24653,783,0.16951,705,1.45436847383635,0.454368473836352
"64","E16_grass00009",0.32604,783,0.23037,705,1.4152884490168,0.415288449016799
"65","E20_Rho00000",0.54605,783,0.2994,705,1.82381429525718,0.823814295257181
"66","E20_Rho00001",0.60714,783,0.24161,705,2.51289267828318,1.51289267828318
"67","E20_Rho00002",0.57578,783,0.20783,705,2.77043737670211,1.77043737670211
"68","E20_Rho00003",0.56272,783,0.17955,705,3.13405736563631,2.13405736563631
"69","E20_Rho00004",0.57796,783,0.22403,705,2.57983305807258,1.57983305807258
"70","E20_Rho00005",0.55466,783,0.32363,705,1.713870778358,0.713870778358002
"71","E20_Rho00006",0.55199,783,0.3186,705,1.73254865034526,0.732548650345261
"72","E20_Rho00007",0.56115,783,0.3036,705,1.84832015810277,0.848320158102767
"73","E31_moss00000",0.63651,783,0.19422,705,3.27726289774483,2.27726289774483
"74","E31_moss00001",0.61613,783,0.18023,705,3.4185762636631,2.4185762636631
"75","E31_moss00002",0.70019,783,0.18754,705,3.73355017596246,2.73355017596246
"76","E31_moss00003",0.61161,783,0.18123,705,3.37477238867737,2.37477238867737
"77","E31_moss00004",0.6101,783,0.17742,705,3.438732950062,2.438732950062
"78","E31_moss00005",0.66126,783,0.18545,705,3.56570504179024,2.56570504179024
"79","E33_Rho00000",0.4945,783,0.13896,705,3.55857800805987,2.55857800805987
"80","E33_Rho00001",0.50331,783,0.1515,705,3.32217821782178,2.32217821782178
"81","E33_Rho00002",0.55229,783,0.1861,705,2.96770553465879,1.96770553465879
"82","E33_Rho00003",0.50564,783,0.15478,705,3.26683033983719,2.26683033983719
"83","E34_moss00000",0.56988,783,0.30623,705,1.86095418476309,0.860954184763087
"84","E34_moss00001",0.39135,783,0.23136,705,1.69151970954357,0.691519709543568
"85","E34_moss00002",0.3671,783,0.23368,705,1.57095172885998,0.570951728859979
"86","E34_moss00003",0.49646,783,0.28647,705,1.73302614584424,0.733026145844242
"87","E34_moss00004",0.29124,783,0.13931,705,2.09058933314191,1.09058933314191
"88","E34_moss00005",0.48052,783,0.20937,705,2.29507570330038,1.29507570330038
"89","E34_moss00006",0.41263,783,0.18413,705,2.24097105306034,1.24097105306034
"90","E36_Birch00000",0.4797,783,0.14714,705,3.26016039146391,2.26016039146391
"91","E36_Birch00001",0.50567,783,0.14245,705,3.54980694980695,2.54980694980695
"92","E5_Birch00000",0.57811,783,0.15392,705,3.75591216216216,2.75591216216216
"93","E5_Birch00001",0.48089,783,0.14765,705,3.25695902472062,2.25695902472062
"94","E5_Birch00002",0.49726,783,0.15138,705,3.28484608270577,2.28484608270577
"95","E5_Hazel00000",0.4919,783,0.15538,705,3.16578710258721,2.16578710258721
"96","E5_Sika00000",0.64097,783,0.11692,705,5.48212452959288,4.48212452959288
"97","E5_Sika00001",0.64369,783,0.16798,705,3.83194427908084,2.83194427908084
"98","E5_Sika00002",0.67599,783,0.1393,705,4.85276381909548,3.85276381909548
"99","O1_Br00001",0.72557,783,0.14757,705,4.91678525445551,3.91678525445551
"100","O1_Br00002",0.72617,783,0.14168,705,5.12542348955392,4.12542348955392
"101","O1_Br00003",0.709,783,0.16569,705,4.27907538173698,3.27907538173698
"102","O1_Br00004",0.56845,783,0.1314,705,4.32610350076104,3.32610350076104
"103","O1_Bra00000",0.66498,783,0.12317,705,5.39887959730454,4.39887959730454
"104","O13_grass00000",0.66884,783,0.18488,705,3.61769796624838,2.61769796624838
"105","O15_Br00000",0.68411,783,0.15326,705,4.46372177998173,3.46372177998173
"106","O17_Birch00000",0.5674,783,0.15894,705,3.56990059141815,2.56990059141815
"107","O17_Rho00000",0.58966,783,0.14508,705,4.06437827405569,3.06437827405569
"108","O17_Rho00001",0.59718,783,0.13777,705,4.33461566378747,3.33461566378747
"109","O17_Rho00002",0.57154,783,0.15306,705,3.73409120606298,2.73409120606298
"110","O17_Rowan00000",0.46996,783,0.24024,705,1.95621045621046,0.956210456210456
"111","O17_Sika00000",0.63203,783,0.15565,705,4.06058464503694,3.06058464503694
"112","O2_Sika00000",0.70736,783,0.21847,705,3.23779008559528,2.23779008559528
"113","O2_Sika00001",0.6277,783,0.18152,705,3.4580211546937,2.4580211546937
"114","O2_Sika00002",0.42238,783,0.14777,705,2.85836096636665,1.85836096636665
"115","O20_Beech00000",0.40419,783,0.18438,705,2.19215750081354,1.19215750081354
"116","O20_Beech00002",0.39806,783,0.17225,705,2.31094339622642,1.31094339622642
"117","O20_Beech00003",0.39651,783,0.17068,705,2.32311928755566,1.32311928755566
"118","O20_Br00000",0.47701,783,0.20378,705,2.34080871528119,1.34080871528119
"119","O20_Br00001",0.47415,783,0.19974,705,2.37383598678282,1.37383598678282
"120","O20_Br00002",0.50613,783,0.2049,705,2.4701317715959,1.4701317715959
"121","O23_Hazel00000",0.42394,783,0.14181,705,2.98949298356957,1.98949298356957
"122","O23_Horse.chestnut00000",0.44674,783,0.1509,705,2.96050364479788,1.96050364479788
"123","O23_Lime00000",0.3962,783,0.14695,705,2.69615515481456,1.69615515481456
"124","O23_Sycamore00000",0.45427,783,0.14081,705,3.22612030395569,2.22612030395569
"125","O23_Sycamore00001",0.44411,783,0.13514,705,3.28629569335504,2.28629569335504
"126","O5_Alder00000",0.4432,783,0.13776,705,3.21718931475029,2.21718931475029
"127","O5_Alder00001",0.45675,783,0.1406,705,3.24857752489331,2.24857752489331
"128","O5_Ash00000",0.66466,783,0.16343,705,4.06693997430092,3.06693997430092
