,sample,species,reflectance.x,wavelength.x,reflectance.y,wavelength.y,ratio,veg_index
1,B10_Br00000,bracken,0.70733,783,0.1363,705,5.189508437,4.189508437
2,B10_Br00001,bracken,0.71094,783,0.13528,705,5.255322295,4.255322295
3,B13.15_grass00000,grass,0.62401,783,0.18242,705,3.420732376,2.420732376
4,B13.15_grass00001,grass,0.71021,783,0.19304,705,3.679082056,2.679082056
5,B13.15_grass00002,grass,0.70667,783,0.2606,705,2.711703761,1.711703761
6,B13.15_grass00003,grass,0.57128,783,0.25511,705,2.239347732,1.239347732
7,B13.15_grass00004,grass,0.72754,783,0.27441,705,2.651288218,1.651288218
8,B13.15_grass00005,grass,0.50861,783,0.1904,705,2.671271008,1.671271008
9,B13.15_grass00006,grass,0.72215,783,0.23492,705,3.0740252,2.0740252
10,B13.15_grass00007,grass,0.71041,783,0.25365,705,2.800749064,1.800749064
11,B18.20_grass00000,grass,0.49278,783,0.17517,705,2.813152937,1.813152937
12,B18.20_grass00001,grass,0.6712,783,0.39278,705,1.708844646,0.708844646
13,B18.20_grass00002,grass,0.51728,783,0.26613,705,1.94371172,0.94371172
14,B18.20_grass00003,grass,0.53978,783,0.27268,705,1.979536453,0.979536453
15,B18.20_grass00004,grass,0.47124,783,0.20298,705,2.32160804,1.32160804
16,B18.20_grass00005,grass,0.52215,783,0.20461,705,2.551928058,1.551928058
17,B18.20_grass00006,grass,0.49371,783,0.23669,705,2.08589294,1.08589294
18,B18.20_grass00007,grass,0.5196,783,0.18406,705,2.822992502,1.822992502
19,B25_Rho00000,rhododendron,0.58254,783,0.14194,705,4.104128505,3.104128505
20,B25_Rho00001,rhododendron,0.55544,783,0.18129,705,3.063820398,2.063820398
21,B25_Rho00002,rhododendron,0.53543,783,0.15325,705,3.493833605,2.493833605
22,B4_Br00000,bracken,0.65935,783,0.1528,705,4.315117801,3.315117801
23,B4_Br00001,bracken,0.66216,783,0.15254,705,4.340894192,3.340894192
24,B6.9_Birch00000,deciduous,0.52546,783,0.13249,705,3.966035172,2.966035172
25,B6.9_Birch00001,deciduous,0.48367,783,0.17583,705,2.750782005,1.750782005
26,B6.9_Birch00002,deciduous,0.46845,783,0.14274,705,3.28184111,2.28184111
27,B6.9_Birch00003,deciduous,0.49452,783,0.17727,705,2.789642918,1.789642918
28,B6.9_Birch00004,deciduous,0.53517,783,0.14511,705,3.688029771,2.688029771
29,B6.9_Birch00005,deciduous,0.48762,783,0.11142,705,4.37641357,3.37641357
30,B7_Alder00000,deciduous,0.4758,783,0.16503,705,2.883112161,1.883112161
31,B7_Alder00001,deciduous,0.46051,783,0.16975,705,2.71287187,1.71287187
32,B7_Alder00002,deciduous,0.4718,783,0.16437,705,2.870353471,1.870353471
33,B7_Alder00003,deciduous,0.46818,783,0.16184,705,2.892857143,1.892857143
34,E094.96_pasture00000,pasture,0.80657,783,0.22268,705,3.622103467,2.622103467
35,E094.96_pasture00001,pasture,0.82427,783,0.22985,705,3.586121384,2.586121384
36,E094.96_pasture00002,pasture,0.81946,783,0.22883,705,3.581086396,2.581086396
37,E094.96_pasture00003,pasture,0.80447,783,0.21986,705,3.659010279,2.659010279
