"","wavelength","beech_mean_reflectance"
"1",1,0.391713333333333
"2",2,0.391843333333333
"3",3,0.391976666666667
"4",4,0.391903333333333
"5",5,0.391646666666667
"6",6,0.39155
"7",7,0.391336666666667
"8",8,0.3913
"9",9,0.391496666666667
"10",10,0.391556666666667
"11",11,0.391516666666667
"12",12,0.391726666666667
"13",13,0.39179
"14",14,0.391696666666667
"15",15,0.391683333333333
"16",16,0.39167
"17",17,0.39167
"18",18,0.391663333333333
"19",19,0.391666666666667
"20",20,0.39171
"21",21,0.391686666666667
"22",22,0.39158
"23",23,0.391633333333333
"24",24,0.391656666666667
"25",25,0.39159
"26",26,0.391543333333333
"27",27,0.39149
"28",28,0.39143
"29",29,0.391476666666667
"30",30,0.39149
"31",31,0.39154
"32",32,0.39154
"33",33,0.391506666666667
"34",34,0.391483333333333
"35",35,0.39144
"36",36,0.391446666666667
"37",37,0.39137
"38",38,0.391303333333333
"39",39,0.391363333333333
"40",40,0.39145
"41",41,0.391486666666667
"42",42,0.391533333333333
"43",43,0.391526666666667
"44",44,0.39141
"45",45,0.39136
"46",46,0.39136
"47",47,0.391353333333333
"48",48,0.39132
"49",49,0.391356666666667
"50",50,0.39139
"51",51,0.391383333333333
"52",52,0.39138
"53",53,0.391353333333333
"54",54,0.391356666666667
"55",55,0.39135
"56",56,0.39126
"57",57,0.391213333333333
"58",58,0.39119
"59",59,0.3911
"60",60,0.391126666666667
"61",61,0.391153333333333
"62",62,0.391203333333333
"63",63,0.391166666666667
"64",64,0.391146666666667
"65",65,0.391106666666667
"66",66,0.391023333333333
"67",67,0.390923333333333
"68",68,0.39085
"69",69,0.390763333333333
"70",70,0.390763333333333
"71",71,0.390793333333333
"72",72,0.390753333333333
"73",73,0.390756666666667
"74",74,0.390726666666667
"75",75,0.39064
"76",76,0.3906
"77",77,0.390663333333333
"78",78,0.39064
"79",79,0.390563333333333
"80",80,0.39045
"81",81,0.390423333333333
"82",82,0.390313333333333
"83",83,0.390263333333333
"84",84,0.390366666666667
"85",85,0.390376666666667
"86",86,0.390393333333333
"87",87,0.390403333333333
"88",88,0.39036
"89",89,0.390306666666667
"90",90,0.390226666666667
"91",91,0.390133333333333
"92",92,0.390003333333333
"93",93,0.38992
"94",94,0.389823333333333
"95",95,0.389783333333333
"96",96,0.389766666666667
"97",97,0.38975
"98",98,0.389756666666667
"99",99,0.389796666666667
"100",100,0.38979
"101",101,0.389693333333333
"102",102,0.38966
"103",103,0.389633333333333
"104",104,0.389596666666667
"105",105,0.389636666666667
"106",106,0.389613333333333
"107",107,0.38952
"108",108,0.389466666666667
"109",109,0.38943
"110",110,0.389366666666667
"111",111,0.389283333333333
"112",112,0.389213333333333
"113",113,0.389126666666667
"114",114,0.38903
"115",115,0.388966666666667
"116",116,0.388893333333333
"117",117,0.388846666666667
"118",118,0.388853333333333
"119",119,0.38885
"120",120,0.388926666666667
"121",121,0.388856666666667
"122",122,0.388646666666667
"123",123,0.388596666666667
"124",124,0.388596666666667
"125",125,0.3885
"126",126,0.38843
"127",127,0.388353333333333
"128",128,0.388166666666667
"129",129,0.38798
"130",130,0.387943333333333
"131",131,0.38793
"132",132,0.38782
"133",133,0.38764
"134",134,0.38749
"135",135,0.3873
"136",136,0.387143333333333
"137",137,0.38705
"138",138,0.38687
"139",139,0.386633333333333
"140",140,0.38642
"141",141,0.38617
"142",142,0.385933333333333
"143",143,0.38569
"144",144,0.38548
"145",145,0.38529
"146",146,0.385083333333333
"147",147,0.384906666666667
"148",148,0.384743333333333
"149",149,0.384543333333333
"150",150,0.3843
"151",151,0.384093333333333
"152",152,0.383876666666667
"153",153,0.383693333333333
"154",154,0.383533333333333
"155",155,0.383373333333333
"156",156,0.38319
"157",157,0.383066666666667
"158",158,0.382993333333333
"159",159,0.38288
"160",160,0.38276
"161",161,0.382666666666667
"162",162,0.38255
"163",163,0.38244
"164",164,0.382346666666667
"165",165,0.382283333333333
"166",166,0.382216666666667
"167",167,0.38214
"168",168,0.382093333333333
"169",169,0.382076666666667
"170",170,0.382056666666667
"171",171,0.382043333333333
"172",172,0.382006666666667
"173",173,0.38196
"174",174,0.38192
"175",175,0.381853333333333
"176",176,0.38181
"177",177,0.381796666666667
"178",178,0.381766666666667
"179",179,0.381706666666667
"180",180,0.38168
"181",181,0.381666666666667
"182",182,0.381656666666667
"183",183,0.381646666666667
"184",184,0.381676666666667
"185",185,0.381646666666667
"186",186,0.38157
"187",187,0.381556666666667
"188",188,0.381556666666667
"189",189,0.38154
"190",190,0.381553333333333
"191",191,0.381543333333333
"192",192,0.381476666666667
"193",193,0.38145
"194",194,0.381433333333333
"195",195,0.381426666666667
"196",196,0.38145
"197",197,0.38146
"198",198,0.381483333333333
"199",199,0.381473333333333
"200",200,0.381463333333333
"201",201,0.381406666666667
"202",202,0.381413333333333
"203",203,0.381436666666667
"204",204,0.381446666666667
"205",205,0.381476666666667
"206",206,0.38149
"207",207,0.381466666666667
"208",208,0.38148
"209",209,0.38151
"210",210,0.381546666666667
"211",211,0.381596666666667
"212",212,0.381626666666667
"213",213,0.381646666666667
"214",214,0.381676666666667
"215",215,0.381716666666667
"216",216,0.381723333333333
"217",217,0.38173
"218",218,0.381766666666667
"219",219,0.38179
"220",220,0.381793333333333
"221",221,0.381826666666667
"222",222,0.381896666666667
"223",223,0.38194
"224",224,0.38199
"225",225,0.38203
"226",226,0.38204
"227",227,0.382076666666667
"228",228,0.38213
"229",229,0.382166666666667
"230",230,0.382213333333333
"231",231,0.38224
"232",232,0.382246666666667
"233",233,0.382243333333333
"234",234,0.38228
"235",235,0.382306666666667
"236",236,0.38232
"237",237,0.382346666666667
"238",238,0.38238
"239",239,0.382406666666667
"240",240,0.382433333333333
"241",241,0.382483333333333
"242",242,0.382516666666667
"243",243,0.382526666666667
"244",244,0.382543333333333
"245",245,0.382566666666667
"246",246,0.382586666666667
"247",247,0.38259
"248",248,0.382603333333333
"249",249,0.382633333333333
"250",250,0.382653333333333
"251",251,0.382663333333333
"252",252,0.382703333333333
"253",253,0.382743333333333
"254",254,0.382753333333333
"255",255,0.382763333333333
"256",256,0.38277
"257",257,0.382766666666667
"258",258,0.382763333333333
"259",259,0.382773333333333
"260",260,0.382793333333333
"261",261,0.38281
"262",262,0.382833333333333
"263",263,0.38285
"264",264,0.382866666666667
"265",265,0.38287
"266",266,0.382856666666667
"267",267,0.382843333333333
"268",268,0.382796666666667
"269",269,0.382776666666667
"270",270,0.382756666666667
"271",271,0.38272
"272",272,0.38271
"273",273,0.38271
"274",274,0.382673333333333
"275",275,0.382646666666667
"276",276,0.38263
"277",277,0.382616666666667
"278",278,0.382596666666667
"279",279,0.382593333333333
"280",280,0.38259
"281",281,0.38258
"282",282,0.38256
"283",283,0.382556666666667
"284",284,0.382526666666667
"285",285,0.382463333333333
"286",286,0.382423333333333
"287",287,0.382366666666667
"288",288,0.38232
"289",289,0.38228
"290",290,0.382233333333333
"291",291,0.38218
"292",292,0.382133333333333
"293",293,0.382066666666667
"294",294,0.38199
"295",295,0.381926666666667
"296",296,0.381853333333333
"297",297,0.381773333333333
"298",298,0.381693333333333
"299",299,0.381606666666667
"300",300,0.381523333333333
"301",301,0.38145
"302",302,0.381406666666667
"303",303,0.381306666666667
"304",304,0.38116
"305",305,0.38105
"306",306,0.380933333333333
"307",307,0.38081
"308",308,0.380716666666667
"309",309,0.38059
"310",310,0.380433333333333
"311",311,0.38027
"312",312,0.380083333333333
"313",313,0.379933333333333
"314",314,0.379763333333333
"315",315,0.379573333333333
"316",316,0.37941
"317",317,0.379213333333333
"318",318,0.378996666666667
"319",319,0.378813333333333
"320",320,0.378623333333333
"321",321,0.378443333333333
"322",322,0.378263333333333
"323",323,0.37805
"324",324,0.377836666666667
"325",325,0.37759
"326",326,0.377373333333333
"327",327,0.37716
"328",328,0.376946666666667
"329",329,0.376736666666667
"330",330,0.37652
"331",331,0.376316666666667
"332",332,0.376073333333333
"333",333,0.37581
"334",334,0.375563333333333
"335",335,0.37531
"336",336,0.375026666666667
"337",337,0.37477
"338",338,0.3745
"339",339,0.374206666666667
"340",340,0.37395
"341",341,0.373683333333333
"342",342,0.373403333333333
"343",343,0.37316
"344",344,0.372903333333333
"345",345,0.372606666666667
"346",346,0.372363333333333
"347",347,0.37212
"348",348,0.371843333333333
"349",349,0.371596666666667
"350",350,0.37139
"351",351,0.371153333333333
"352",352,0.370903333333333
"353",353,0.370663333333333
"354",354,0.37041
"355",355,0.370166666666667
"356",356,0.369923333333333
"357",357,0.369683333333333
"358",358,0.369453333333333
"359",359,0.36922
"360",360,0.368986666666667
"361",361,0.368696666666667
"362",362,0.368406666666667
"363",363,0.368113333333333
"364",364,0.367783333333333
"365",365,0.367453333333333
"366",366,0.367123333333333
"367",367,0.366733333333333
"368",368,0.36633
"369",369,0.365916666666667
"370",370,0.36546
"371",371,0.364983333333333
"372",372,0.36447
"373",373,0.363916666666667
"374",374,0.363323333333333
"375",375,0.362673333333333
"376",376,0.361993333333333
"377",377,0.361316666666667
"378",378,0.360533333333333
"379",379,0.359706666666667
"380",380,0.35877
"381",381,0.357736666666667
"382",382,0.356653333333333
"383",383,0.355516666666667
"384",384,0.354266666666667
"385",385,0.352936666666667
"386",386,0.351536666666667
"387",387,0.350036666666667
"388",388,0.34847
"389",389,0.346866666666667
"390",390,0.34519
"391",391,0.343416666666667
"392",392,0.341573333333333
"393",393,0.339663333333333
"394",394,0.337696666666667
"395",395,0.33569
"396",396,0.333646666666667
"397",397,0.331553333333333
"398",398,0.329476666666667
"399",399,0.3274
"400",400,0.3253
"401",401,0.323243333333333
"402",402,0.321176666666667
"403",403,0.31914
"404",404,0.31711
"405",405,0.315163333333333
"406",406,0.313223333333333
"407",407,0.311406666666667
"408",408,0.309693333333333
"409",409,0.307983333333333
"410",410,0.306303333333333
"411",411,0.304736666666667
"412",412,0.30322
"413",413,0.30179
"414",414,0.300466666666667
"415",415,0.29921
"416",416,0.298006666666667
"417",417,0.29687
"418",418,0.295833333333333
"419",419,0.294883333333333
"420",420,0.29398
"421",421,0.293133333333333
"422",422,0.292336666666667
"423",423,0.291616666666667
"424",424,0.290986666666667
"425",425,0.2904
"426",426,0.289846666666667
"427",427,0.289343333333333
"428",428,0.288873333333333
"429",429,0.28845
"430",430,0.288093333333333
"431",431,0.28778
"432",432,0.287496666666667
"433",433,0.287253333333333
"434",434,0.287043333333333
"435",435,0.286853333333333
"436",436,0.286703333333333
"437",437,0.28659
"438",438,0.286506666666667
"439",439,0.286463333333333
