"","wavelength","lime_mean_reflectance"
"1",1,0.38896
"2",2,0.38897
"3",3,0.38906
"4",4,0.38906
"5",5,0.38893
"6",6,0.38896
"7",7,0.38907
"8",8,0.38911
"9",9,0.38917
"10",10,0.38938
"11",11,0.38941
"12",12,0.38937
"13",13,0.38932
"14",14,0.38915
"15",15,0.3891
"16",16,0.38907
"17",17,0.38905
"18",18,0.38907
"19",19,0.38908
"20",20,0.389
"21",21,0.38907
"22",22,0.3892
"23",23,0.38947
"24",24,0.38967
"25",25,0.38972
"26",26,0.38961
"27",27,0.38937
"28",28,0.38914
"29",29,0.38907
"30",30,0.38908
"31",31,0.38922
"32",32,0.38932
"33",33,0.38956
"34",34,0.38963
"35",35,0.38962
"36",36,0.38961
"37",37,0.38953
"38",38,0.38929
"39",39,0.3892
"40",40,0.38908
"41",41,0.38904
"42",42,0.38923
"43",43,0.38917
"44",44,0.3892
"45",45,0.38928
"46",46,0.3892
"47",47,0.38921
"48",48,0.38931
"49",49,0.38934
"50",50,0.38929
"51",51,0.38932
"52",52,0.38932
"53",53,0.38921
"54",54,0.38907
"55",55,0.3891
"56",56,0.38921
"57",57,0.38932
"58",58,0.38936
"59",59,0.38924
"60",60,0.38898
"61",61,0.38886
"62",62,0.38876
"63",63,0.38887
"64",64,0.38896
"65",65,0.38909
"66",66,0.38913
"67",67,0.38901
"68",68,0.38894
"69",69,0.38882
"70",70,0.38868
"71",71,0.38868
"72",72,0.38867
"73",73,0.38861
"74",74,0.38863
"75",75,0.38857
"76",76,0.38855
"77",77,0.38861
"78",78,0.38859
"79",79,0.3885
"80",80,0.38843
"81",81,0.38844
"82",82,0.38821
"83",83,0.3881
"84",84,0.38818
"85",85,0.3881
"86",86,0.38803
"87",87,0.38803
"88",88,0.38796
"89",89,0.38787
"90",90,0.38778
"91",91,0.3877
"92",92,0.38755
"93",93,0.38747
"94",94,0.38743
"95",95,0.38745
"96",96,0.3874
"97",97,0.38736
"98",98,0.38731
"99",99,0.38724
"100",100,0.3872
"101",101,0.38711
"102",102,0.38698
"103",103,0.38682
"104",104,0.38673
"105",105,0.38666
"106",106,0.3866
"107",107,0.38661
"108",108,0.38657
"109",109,0.3865
"110",110,0.38644
"111",111,0.38642
"112",112,0.38633
"113",113,0.38618
"114",114,0.38604
"115",115,0.38592
"116",116,0.38593
"117",117,0.38591
"118",118,0.38586
"119",119,0.38576
"120",120,0.38551
"121",121,0.38545
"122",122,0.38554
"123",123,0.38545
"124",124,0.38537
"125",125,0.38524
"126",126,0.38487
"127",127,0.38466
"128",128,0.38458
"129",129,0.38447
"130",130,0.38422
"131",131,0.38407
"132",132,0.38384
"133",133,0.3835
"134",134,0.38325
"135",135,0.38307
"136",136,0.3828
"137",137,0.3825
"138",138,0.3822
"139",139,0.38189
"140",140,0.38151
"141",141,0.38105
"142",142,0.38065
"143",143,0.38023
"144",144,0.37984
"145",145,0.37955
"146",146,0.37923
"147",147,0.37879
"148",148,0.37836
"149",149,0.37803
"150",150,0.3777
"151",151,0.37742
"152",152,0.37727
"153",153,0.37701
"154",154,0.37669
"155",155,0.37641
"156",156,0.37609
"157",157,0.37585
"158",158,0.37568
"159",159,0.37549
"160",160,0.3753
"161",161,0.37517
"162",162,0.3751
"163",163,0.37496
"164",164,0.37482
"165",165,0.37468
"166",166,0.3746
"167",167,0.37447
"168",168,0.37441
"169",169,0.37446
"170",170,0.37444
"171",171,0.37441
"172",172,0.37436
"173",173,0.37429
"174",174,0.37423
"175",175,0.37415
"176",176,0.37407
"177",177,0.374
"178",178,0.37393
"179",179,0.37381
"180",180,0.37376
"181",181,0.37374
"182",182,0.37378
"183",183,0.37373
"184",184,0.37369
"185",185,0.37364
"186",186,0.37354
"187",187,0.37348
"188",188,0.37346
"189",189,0.37343
"190",190,0.37341
"191",191,0.37337
"192",192,0.37333
"193",193,0.37329
"194",194,0.37321
"195",195,0.37315
"196",196,0.37313
"197",197,0.37311
"198",198,0.37307
"199",199,0.37305
"200",200,0.37305
"201",201,0.37304
"202",202,0.37304
"203",203,0.37305
"204",204,0.37308
"205",205,0.37311
"206",206,0.37313
"207",207,0.37315
"208",208,0.37318
"209",209,0.37322
"210",210,0.37326
"211",211,0.37334
"212",212,0.37337
"213",213,0.37333
"214",214,0.37334
"215",215,0.37335
"216",216,0.37335
"217",217,0.37338
"218",218,0.37344
"219",219,0.37347
"220",220,0.37349
"221",221,0.37352
"222",222,0.37355
"223",223,0.37361
"224",224,0.37369
"225",225,0.37373
"226",226,0.37379
"227",227,0.37382
"228",228,0.37379
"229",229,0.37381
"230",230,0.37387
"231",231,0.3739
"232",232,0.37394
"233",233,0.37399
"234",234,0.37396
"235",235,0.37397
"236",236,0.37401
"237",237,0.37401
"238",238,0.37401
"239",239,0.37402
"240",240,0.37404
"241",241,0.37404
"242",242,0.37407
"243",243,0.37416
"244",244,0.37419
"245",245,0.37418
"246",246,0.37419
"247",247,0.37416
"248",248,0.37415
"249",249,0.37416
"250",250,0.37419
"251",251,0.37425
"252",252,0.37428
"253",253,0.37427
"254",254,0.37424
"255",255,0.37419
"256",256,0.37412
"257",257,0.37411
"258",258,0.37416
"259",259,0.37417
"260",260,0.37418
"261",261,0.37418
"262",262,0.37416
"263",263,0.37414
"264",264,0.37414
"265",265,0.37411
"266",266,0.37405
"267",267,0.37401
"268",268,0.37397
"269",269,0.37393
"270",270,0.3739
"271",271,0.37389
"272",272,0.37387
"273",273,0.37382
"274",274,0.37377
"275",275,0.37372
"276",276,0.37366
"277",277,0.37359
"278",278,0.37355
"279",279,0.37347
"280",280,0.37341
"281",281,0.37337
"282",282,0.37332
"283",283,0.37327
"284",284,0.37321
"285",285,0.37313
"286",286,0.37304
"287",287,0.37294
"288",288,0.37283
"289",289,0.37271
"290",290,0.37259
"291",291,0.37247
"292",292,0.37232
"293",293,0.3722
"294",294,0.37208
"295",295,0.37191
"296",296,0.37179
"297",297,0.37163
"298",298,0.37144
"299",299,0.3713
"300",300,0.37113
"301",301,0.37095
"302",302,0.37079
"303",303,0.3706
"304",304,0.37037
"305",305,0.37016
"306",306,0.36996
"307",307,0.36972
"308",308,0.36947
"309",309,0.36921
"310",310,0.36892
"311",311,0.36864
"312",312,0.36838
"313",313,0.36809
"314",314,0.36777
"315",315,0.36749
"316",316,0.36719
"317",317,0.36689
"318",318,0.36659
"319",319,0.36626
"320",320,0.36591
"321",321,0.36556
"322",322,0.36518
"323",323,0.36479
"324",324,0.36442
"325",325,0.36405
"326",326,0.36365
"327",327,0.36326
"328",328,0.36286
"329",329,0.36242
"330",330,0.362
"331",331,0.3616
"332",332,0.36118
"333",333,0.36078
"334",334,0.36034
"335",335,0.35987
"336",336,0.35941
"337",337,0.35894
"338",338,0.3585
"339",339,0.35807
"340",340,0.35767
"341",341,0.35724
"342",342,0.35681
"343",343,0.35637
"344",344,0.35594
"345",345,0.35553
"346",346,0.35511
"347",347,0.35469
"348",348,0.35424
"349",349,0.35382
"350",350,0.3534
"351",351,0.35299
"352",352,0.35259
"353",353,0.35218
"354",354,0.35175
"355",355,0.35134
"356",356,0.35092
"357",357,0.35051
"358",358,0.35013
"359",359,0.34971
"360",360,0.34928
"361",361,0.34884
"362",362,0.34837
"363",363,0.34788
"364",364,0.34735
"365",365,0.34679
"366",366,0.3462
"367",367,0.34556
"368",368,0.34491
"369",369,0.34419
"370",370,0.34339
"371",371,0.3426
"372",372,0.34173
"373",373,0.34078
"374",374,0.3398
"375",375,0.33878
"376",376,0.33761
"377",377,0.33638
"378",378,0.33501
"379",379,0.33351
"380",380,0.33192
"381",381,0.33023
"382",382,0.32841
"383",383,0.32649
"384",384,0.3244
"385",385,0.32218
"386",386,0.31985
"387",387,0.31735
"388",388,0.31481
"389",389,0.31216
"390",390,0.30937
"391",391,0.30652
"392",392,0.30357
"393",393,0.30056
"394",394,0.29749
"395",395,0.29432
"396",396,0.29114
"397",397,0.28795
"398",398,0.28472
"399",399,0.28155
"400",400,0.27839
"401",401,0.27527
"402",402,0.27222
"403",403,0.26925
"404",404,0.26633
"405",405,0.26356
"406",406,0.26086
"407",407,0.25828
"408",408,0.25582
"409",409,0.25345
"410",410,0.25112
"411",411,0.24898
"412",412,0.24697
"413",413,0.24507
"414",414,0.24329
"415",415,0.24163
"416",416,0.24005
"417",417,0.23855
"418",418,0.23718
"419",419,0.23594
"420",420,0.23479
"421",421,0.2337
"422",422,0.2327
"423",423,0.23178
"424",424,0.23094
"425",425,0.23017
"426",426,0.22947
"427",427,0.22883
"428",428,0.22827
"429",429,0.22779
"430",430,0.22735
"431",431,0.22696
"432",432,0.22661
"433",433,0.22629
"434",434,0.22601
"435",435,0.22579
"436",436,0.22559
"437",437,0.22541
"438",438,0.22529
"439",439,0.22521
"440",440,0.22515
"441",441,0.22513
"442",442,0.22512
"443",443,0.22512
"444",444,0.22515
"445",445,0.2252
"446",446,0.22527
"447",447,0.22538
"448",448,0.22549
"449",449,0.22561
"450",450,0.22577
"451",451,0.22591
"452",452,0.22609
"453",453,0.22629
"454",454,0.22647
"455",455,0.22668
"456",456,0.22689
"457",457,0.22712
"458",458,0.22739
"459",459,0.22769
"460",460,0.22802
"461",461,0.22838
"462",462,0.22877
"463",463,0.22918
"464",464,0.22965
"465",465,0.23016
"466",466,0.23071
"467",467,0.2313
"468",468,0.23192
"469",469,0.23258
"470",470,0.23329
"471",471,0.23403
"472",472,0.23482
"473",473,0.23562
"474",474,0.23644
"475",475,0.23729
"476",476,0.23818
"477",477,0.23907
"478",478,0.23999
"479",479,0.24091
"480",480,0.24184
"481",481,0.24276
"482",482,0.2437
"483",483,0.24465
"484",484,0.24562
"485",485,0.24657
"486",486,0.24752
"487",487,0.24846
"488",488,0.24942
"489",489,0.25038
"490",490,0.25137
"491",491,0.25236
"492",492,0.25333
"493",493,0.2543
"494",494,0.25526
"495",495,0.2562
"496",496,0.25716
"497",497,0.25812
"498",498,0.25908
"499",499,0.26004
"500",500,0.26099
"501",501,0.26191
"502",502,0.26283
"503",503,0.26375
"504",504,0.26464
"505",505,0.26553
"506",506,0.26643
"507",507,0.26734
"508",508,0.26824
"509",509,0.26915
"510",510,0.27004
"511",511,0.27092
"512",512,0.27178
"513",513,0.27264
"514",514,0.27348
"515",515,0.27431
"516",516,0.27514
"517",517,0.27597
"518",518,0.27679
"519",519,0.27762
"520",520,0.27843
"521",521,0.27922
"522",522,0.28
"523",523,0.28076
"524",524,0.28151
"525",525,0.28227
"526",526,0.28301
"527",527,0.28371
"528",528,0.28443
"529",529,0.28513
"530",530,0.28583
"531",531,0.28654
"532",532,0.28724
"533",533,0.28791
"534",534,0.28859
"535",535,0.28924
"536",536,0.2899
"537",537,0.29057
"538",538,0.29121
"539",539,0.29185
"540",540,0.29247
"541",541,0.29305
"542",542,0.29363
"543",543,0.2942
"544",544,0.29477
"545",545,0.29536
"546",546,0.29595
"547",547,0.29653
"548",548,0.29709
"549",549,0.29762
"550",550,0.29814
"551",551,0.29868
"552",552,0.29921
"553",553,0.29973
"554",554,0.30024
"555",555,0.30074
"556",556,0.30122
"557",557,0.30169
"558",558,0.30216
"559",559,0.30264
"560",560,0.30312
"561",561,0.30358
"562",562,0.30402
"563",563,0.30445
"564",564,0.30486
"565",565,0.30527
"566",566,0.30571
"567",567,0.30613
"568",568,0.30655
"569",569,0.30696
"570",570,0.30737
"571",571,0.30777
"572",572,0.30816
"573",573,0.30855
"574",574,0.30894
"575",575,0.30932
"576",576,0.3097
"577",577,0.31007
"578",578,0.31045
"579",579,0.31081
"580",580,0.31116
"581",581,0.31151
"582",582,0.31183
"583",583,0.31216
"584",584,0.31249
"585",585,0.31279
"586",586,0.31308
"587",587,0.31337
"588",588,0.31366
"589",589,0.31396
"590",590,0.31426
"591",591,0.31457
"592",592,0.31489
"593",593,0.31519
"594",594,0.3155
"595",595,0.31579
"596",596,0.31605
"597",597,0.31632
"598",598,0.31661
"599",599,0.31687
"600",600,0.31712
"601",601,0.31738
"602",602,0.31762
"603",603,0.31787
"604",604,0.31812
"605",605,0.31837
"606",606,0.31861
"607",607,0.31883
"608",608,0.31904
"609",609,0.31927
"610",610,0.31951
"611",611,0.31973
"612",612,0.31996
"613",613,0.32018
"614",614,0.32038
"615",615,0.32058
"616",616,0.32077
"617",617,0.32096
"618",618,0.32115
"619",619,0.32132
"620",620,0.32149
"621",621,0.32166
"622",622,0.32179
"623",623,0.32194
"624",624,0.32207
"625",625,0.32222
"626",626,0.32237
"627",627,0.32252
"628",628,0.32267
"629",629,0.32282
"630",630,0.32298
"631",631,0.32312
"632",632,0.32326
"633",633,0.3234
"634",634,0.32355
"635",635,0.32369
"636",636,0.32385
"637",637,0.32398
"638",638,0.32411
"639",639,0.32421
"640",640,0.32428
"641",641,0.32436
"642",642,0.32441
"643",643,0.32448
"644",644,0.32457
"645",645,0.32464
"646",646,0.3247
"647",647,0.32475
"648",648,0.32476
"649",649,0.3248
"650",650,0.32486
"651",651,0.32491
"652",652,0.32497
"653",653,0.32502
"654",654,0.32505
"655",655,0.32506
"656",656,0.32503
"657",657,0.32501
"658",658,0.32496
"659",659,0.32492
"660",660,0.32487
"661",661,0.32482
"662",662,0.32475
"663",663,0.3247
"664",664,0.32466
"665",665,0.32463
"666",666,0.32462
"667",667,0.3246
"668",668,0.32458
"669",669,0.32454
"670",670,0.32449
"671",671,0.32444
"672",672,0.32439
"673",673,0.32432
"674",674,0.32422
"675",675,0.32415
"676",676,0.32408
"677",677,0.324
"678",678,0.32397
"679",679,0.32387
"680",680,0.3237
"681",681,0.32357
"682",682,0.32343
"683",683,0.32329
"684",684,0.32318
"685",685,0.32302
"686",686,0.32281
"687",687,0.3226
"688",688,0.32236
"689",689,0.32216
"690",690,0.32195
"691",691,0.32177
"692",692,0.32165
"693",693,0.32145
"694",694,0.3212
"695",695,0.32101
"696",696,0.32081
"697",697,0.32061
"698",698,0.32045
"699",699,0.32025
"700",700,0.32001
"701",701,0.31978
"702",702,0.31954
"703",703,0.31933
"704",704,0.31912
"705",705,0.31891
"706",706,0.31875
"707",707,0.31855
"708",708,0.31833
"709",709,0.31813
"710",710,0.31794
"711",711,0.31773
"712",712,0.3175
"713",713,0.31729
"714",714,0.31708
"715",715,0.31685
"716",716,0.31663
"717",717,0.31641
"718",718,0.31617
"719",719,0.31593
"720",720,0.31569
"721",721,0.31543
"722",722,0.31517
"723",723,0.31496
"724",724,0.31477
"725",725,0.31456
"726",726,0.31434
"727",727,0.3141
"728",728,0.31384
"729",729,0.3136
"730",730,0.31336
"731",731,0.3131
"732",732,0.31286
"733",733,0.31263
"734",734,0.31239
"735",735,0.31218
"736",736,0.31195
"737",737,0.31174
"738",738,0.31149
"739",739,0.3112
"740",740,0.31093
"741",741,0.31062
"742",742,0.31033
"743",743,0.31008
"744",744,0.3098
"745",745,0.3095
"746",746,0.30918
"747",747,0.30881
"748",748,0.30848
"749",749,0.30816
"750",750,0.30782
"751",751,0.30752
"752",752,0.30717
"753",753,0.30676
"754",754,0.30639
"755",755,0.306
"756",756,0.30564
"757",757,0.30531
"758",758,0.30495
"759",759,0.30457
"760",760,0.30423
"761",761,0.30389
"762",762,0.30357
"763",763,0.30329
"764",764,0.30299
"765",765,0.30268
"766",766,0.30238
"767",767,0.30208
"768",768,0.3018
"769",769,0.30152
"770",770,0.30126
"771",771,0.30102
"772",772,0.30081
"773",773,0.30061
"774",774,0.30037
"775",775,0.30018
"776",776,0.29999
"777",777,0.29978
"778",778,0.29961
"779",779,0.29944
"780",780,0.29929
"781",781,0.29913
"782",782,0.29896
"783",783,0.29881
"784",784,0.29863
"785",785,0.29849
"786",786,0.29839
"787",787,0.29828
"788",788,0.29818
"789",789,0.29808
"790",790,0.29795
"791",791,0.29786
"792",792,0.2978
"793",793,0.29773
"794",794,0.29768
"795",795,0.29765
"796",796,0.29763
"797",797,0.2976
"798",798,0.2976
"799",799,0.2976
"800",800,0.29761
"801",801,0.2976
"802",802,0.29758
"803",803,0.29758
"804",804,0.2976
"805",805,0.2976
"806",806,0.29763
"807",807,0.29765
"808",808,0.29762
"809",809,0.29765
"810",810,0.29771
"811",811,0.29771
"812",812,0.29778
"813",813,0.29779
"814",814,0.29772
"815",815,0.29772
"816",816,0.2977
"817",817,0.29765
"818",818,0.29767
"819",819,0.29767
"820",820,0.29761
"821",821,0.2976
"822",822,0.29757
"823",823,0.29753
"824",824,0.29749
"825",825,0.29744
"826",826,0.29738
"827",827,0.29734
"828",828,0.29724
"829",829,0.29711
"830",830,0.29697
"831",831,0.29678
"832",832,0.29706
"833",833,0.29669
"834",834,0.29646
"835",835,0.29625
"836",836,0.29605
"837",837,0.29584
"838",838,0.29551
"839",839,0.29511
"840",840,0.29464
"841",841,0.29402
"842",842,0.29359
"843",843,0.29309
"844",844,0.29252
"845",845,0.29216
"846",846,0.2918
"847",847,0.29113
"848",848,0.29038
"849",849,0.28955
"850",850,0.28825
"851",851,0.28723
"852",852,0.28637
"853",853,0.28548
"854",854,0.28425
"855",855,0.28327
"856",856,0.2819
"857",857,0.28031
"858",858,0.27874
"859",859,0.27719
"860",860,0.27532
"861",861,0.27321
"862",862,0.27112
"863",863,0.26884
"864",864,0.26646
"865",865,0.26423
"866",866,0.26196
"867",867,0.25921
"868",868,0.25616
"869",869,0.25299
"870",870,0.24944
"871",871,0.24582
"872",872,0.2421
"873",873,0.23837
"874",874,0.23436
"875",875,0.23014
"876",876,0.22567
"877",877,0.2208
"878",878,0.21615
"879",879,0.21149
"880",880,0.20658
"881",881,0.20151
"882",882,0.19657
"883",883,0.19139
"884",884,0.18582
"885",885,0.18043
"886",886,0.17497
"887",887,0.16969
"888",888,0.16436
"889",889,0.1592
"890",890,0.15414
"891",891,0.14919
"892",892,0.14428
"893",893,0.13938
"894",894,0.13494
"895",895,0.13082
"896",896,0.12683
"897",897,0.12308
"898",898,0.11952
"899",899,0.11613
"900",900,0.11293
"901",901,0.11005
"902",902,0.10729
"903",903,0.10455
"904",904,0.10211
"905",905,0.10007
"906",906,0.098435
"907",907,0.09675
"908",908,0.095392
"909",909,0.094078
"910",910,0.092701
"911",911,0.091588
"912",912,0.090794
"913",913,0.09009
"914",914,0.089289
"915",915,0.088514
"916",916,0.087836
"917",917,0.087126
"918",918,0.086568
"919",919,0.08614
"920",920,0.085776
"921",921,0.085402
"922",922,0.085242
"923",923,0.085327
"924",924,0.08547
"925",925,0.085403
"926",926,0.085345
"927",927,0.085314
"928",928,0.08499
"929",929,0.085047
"930",930,0.085437
"931",931,0.085696
"932",932,0.086096
"933",933,0.086384
"934",934,0.08663
"935",935,0.086796
"936",936,0.087037
"937",937,0.08714
"938",938,0.087546
